Capacity data calculated from MERRA-2,,,,,0.290038509
,,,,,
BEGIN_DATA,,,,,
year,month,day,hour,s_cfs,
2018,1,1,1,0,
2018,1,1,2,0,
2018,1,1,3,0,
2018,1,1,4,0,
2018,1,1,5,0,
2018,1,1,6,0,
2018,1,1,7,0,
2018,1,1,8,0,
2018,1,1,9,0,
2018,1,1,10,0,
2018,1,1,11,0,
2018,1,1,12,0,
2018,1,1,13,0,
2018,1,1,14,0,
2018,1,1,15,0.28355865,
2018,1,1,16,0.556774195,
2018,1,1,17,0.61906115,
2018,1,1,18,0.567561593,
2018,1,1,19,0.518482531,
2018,1,1,20,0.512126965,
2018,1,1,21,0.532715238,
2018,1,1,22,0.536730378,
2018,1,1,23,0.39769546,
2018,1,1,24,0.005446966,
2018,1,2,1,0,
2018,1,2,2,0,
2018,1,2,3,0,
2018,1,2,4,0,
2018,1,2,5,0,
2018,1,2,6,0,
2018,1,2,7,0,
2018,1,2,8,0,
2018,1,2,9,0,
2018,1,2,10,0,
2018,1,2,11,0,
2018,1,2,12,0,
2018,1,2,13,0,
2018,1,2,14,0,
2018,1,2,15,0.08000242,
2018,1,2,16,0.205537745,
2018,1,2,17,0.302509694,
2018,1,2,18,0.362711487,
2018,1,2,19,0.375281075,
2018,1,2,20,0.387040304,
2018,1,2,21,0.380223356,
2018,1,2,22,0.320187932,
2018,1,2,23,0.190978666,
2018,1,2,24,0.003729653,
2018,1,3,1,0,
2018,1,3,2,0,
2018,1,3,3,0,
2018,1,3,4,0,
2018,1,3,5,0,
2018,1,3,6,0,
2018,1,3,7,0,
2018,1,3,8,0,
2018,1,3,9,0,
2018,1,3,10,0,
2018,1,3,11,0,
2018,1,3,12,0,
2018,1,3,13,0,
2018,1,3,14,0,
2018,1,3,15,0.125825959,
2018,1,3,16,0.307307156,
2018,1,3,17,0.379356734,
2018,1,3,18,0.359789264,
2018,1,3,19,0.325240885,
2018,1,3,20,0.26147535,
2018,1,3,21,0.165579371,
2018,1,3,22,0.095408536,
2018,1,3,23,0.047629089,
2018,1,3,24,0.003036361,
2018,1,4,1,0,
2018,1,4,2,0,
2018,1,4,3,0,
2018,1,4,4,0,
2018,1,4,5,0,
2018,1,4,6,0,
2018,1,4,7,0,
2018,1,4,8,0,
2018,1,4,9,0,
2018,1,4,10,0,
2018,1,4,11,0,
2018,1,4,12,0,
2018,1,4,13,0,
2018,1,4,14,0,
2018,1,4,15,0.199256549,
2018,1,4,16,0.339557834,
2018,1,4,17,0.423958084,
2018,1,4,18,0.433065657,
2018,1,4,19,0.433319169,
2018,1,4,20,0.454918268,
2018,1,4,21,0.490433493,
2018,1,4,22,0.502979953,
2018,1,4,23,0.403581137,
2018,1,4,24,0.008397396,
2018,1,5,1,0,
2018,1,5,2,0,
2018,1,5,3,0,
2018,1,5,4,0,
2018,1,5,5,0,
2018,1,5,6,0,
2018,1,5,7,0,
2018,1,5,8,0,
2018,1,5,9,0,
2018,1,5,10,0,
2018,1,5,11,0,
2018,1,5,12,0,
2018,1,5,13,0,
2018,1,5,14,0,
2018,1,5,15,0.24240692,
2018,1,5,16,0.455091808,
2018,1,5,17,0.538407973,
2018,1,5,18,0.522295684,
2018,1,5,19,0.493959777,
2018,1,5,20,0.491971221,
2018,1,5,21,0.514129125,
2018,1,5,22,0.512488737,
2018,1,5,23,0.35848717,
2018,1,5,24,0.005883991,
2018,1,6,1,0,
2018,1,6,2,0,
2018,1,6,3,0,
2018,1,6,4,0,
2018,1,6,5,0,
2018,1,6,6,0,
2018,1,6,7,0,
2018,1,6,8,0,
2018,1,6,9,0,
2018,1,6,10,0,
2018,1,6,11,0,
2018,1,6,12,0,
2018,1,6,13,0,
2018,1,6,14,0,
2018,1,6,15,0.026909987,
2018,1,6,16,0.074198352,
2018,1,6,17,0.198878673,
2018,1,6,18,0.282625813,
2018,1,6,19,0.326811761,
2018,1,6,20,0.353853809,
2018,1,6,21,0.362374368,
2018,1,6,22,0.313998312,
2018,1,6,23,0.195292868,
2018,1,6,24,0.004859535,
2018,1,7,1,0,
2018,1,7,2,0,
2018,1,7,3,0,
2018,1,7,4,0,
2018,1,7,5,0,
2018,1,7,6,0,
2018,1,7,7,0,
2018,1,7,8,0,
2018,1,7,9,0,
2018,1,7,10,0,
2018,1,7,11,0,
2018,1,7,12,0,
2018,1,7,13,0,
2018,1,7,14,0,
2018,1,7,15,0.176685022,
2018,1,7,16,0.426212735,
2018,1,7,17,0.5604165,
2018,1,7,18,0.549531299,
2018,1,7,19,0.502626974,
2018,1,7,20,0.503974084,
2018,1,7,21,0.511987581,
2018,1,7,22,0.486891007,
2018,1,7,23,0.330842515,
2018,1,7,24,0.010845803,
2018,1,8,1,0,
2018,1,8,2,0,
2018,1,8,3,0,
2018,1,8,4,0,
2018,1,8,5,0,
2018,1,8,6,0,
2018,1,8,7,0,
2018,1,8,8,0,
2018,1,8,9,0,
2018,1,8,10,0,
2018,1,8,11,0,
2018,1,8,12,0,
2018,1,8,13,0,
2018,1,8,14,0,
2018,1,8,15,0.010750689,
2018,1,8,16,0.058911686,
2018,1,8,17,0.12923001,
2018,1,8,18,0.202043927,
2018,1,8,19,0.255093553,
2018,1,8,20,0.268649088,
2018,1,8,21,0.258328154,
2018,1,8,22,0.159627468,
2018,1,8,23,0.04524518,
2018,1,8,24,0.001133871,
2018,1,9,1,0,
2018,1,9,2,0,
2018,1,9,3,0,
2018,1,9,4,0,
2018,1,9,5,0,
2018,1,9,6,0,
2018,1,9,7,0,
2018,1,9,8,0,
2018,1,9,9,0,
2018,1,9,10,0,
2018,1,9,11,0,
2018,1,9,12,0,
2018,1,9,13,0,
2018,1,9,14,0,
2018,1,9,15,0.065033304,
2018,1,9,16,0.188357229,
2018,1,9,17,0.257355789,
2018,1,9,18,0.295659334,
2018,1,9,19,0.315581102,
2018,1,9,20,0.309691253,
2018,1,9,21,0.277055235,
2018,1,9,22,0.249684455,
2018,1,9,23,0.170058133,
2018,1,9,24,0.010054724,
2018,1,10,1,0,
2018,1,10,2,0,
2018,1,10,3,0,
2018,1,10,4,0,
2018,1,10,5,0,
2018,1,10,6,0,
2018,1,10,7,0,
2018,1,10,8,0,
2018,1,10,9,0,
2018,1,10,10,0,
2018,1,10,11,0,
2018,1,10,12,0,
2018,1,10,13,0,
2018,1,10,14,0,
2018,1,10,15,0.085976613,
2018,1,10,16,0.246364945,
2018,1,10,17,0.442657872,
2018,1,10,18,0.504094808,
2018,1,10,19,0.502494323,
2018,1,10,20,0.51926899,
2018,1,10,21,0.551411197,
2018,1,10,22,0.571776544,
2018,1,10,23,0.455280346,
2018,1,10,24,0.01879424,
2018,1,11,1,0,
2018,1,11,2,0,
2018,1,11,3,0,
2018,1,11,4,0,
2018,1,11,5,0,
2018,1,11,6,0,
2018,1,11,7,0,
2018,1,11,8,0,
2018,1,11,9,0,
2018,1,11,10,0,
2018,1,11,11,0,
2018,1,11,12,0,
2018,1,11,13,0,
2018,1,11,14,0,
2018,1,11,15,0.217739166,
2018,1,11,16,0.490381923,
2018,1,11,17,0.602583355,
2018,1,11,18,0.585606987,
2018,1,11,19,0.545507842,
2018,1,11,20,0.554113694,
2018,1,11,21,0.599042652,
2018,1,11,22,0.616006499,
2018,1,11,23,0.486894671,
2018,1,11,24,0.017774524,
2018,1,12,1,0,
2018,1,12,2,0,
2018,1,12,3,0,
2018,1,12,4,0,
2018,1,12,5,0,
2018,1,12,6,0,
2018,1,12,7,0,
2018,1,12,8,0,
2018,1,12,9,0,
2018,1,12,10,0,
2018,1,12,11,0,
2018,1,12,12,0,
2018,1,12,13,0,
2018,1,12,14,0,
2018,1,12,15,0.274874916,
2018,1,12,16,0.61203189,
2018,1,12,17,0.653516153,
2018,1,12,18,0.602563408,
2018,1,12,19,0.566849805,
2018,1,12,20,0.569759962,
2018,1,12,21,0.604508221,
2018,1,12,22,0.643010223,
2018,1,12,23,0.480106209,
2018,1,12,24,0.017567989,
2018,1,13,1,0,
2018,1,13,2,0,
2018,1,13,3,0,
2018,1,13,4,0,
2018,1,13,5,0,
2018,1,13,6,0,
2018,1,13,7,0,
2018,1,13,8,0,
2018,1,13,9,0,
2018,1,13,10,0,
2018,1,13,11,0,
2018,1,13,12,0,
2018,1,13,13,0,
2018,1,13,14,0,
2018,1,13,15,0.311391074,
2018,1,13,16,0.611822775,
2018,1,13,17,0.654420031,
2018,1,13,18,0.601450806,
2018,1,13,19,0.560311536,
2018,1,13,20,0.563624027,
2018,1,13,21,0.60443948,
2018,1,13,22,0.618991447,
2018,1,13,23,0.472731031,
2018,1,13,24,0.019546536,
2018,1,14,1,0,
2018,1,14,2,0,
2018,1,14,3,0,
2018,1,14,4,0,
2018,1,14,5,0,
2018,1,14,6,0,
2018,1,14,7,0,
2018,1,14,8,0,
2018,1,14,9,0,
2018,1,14,10,0,
2018,1,14,11,0,
2018,1,14,12,0,
2018,1,14,13,0,
2018,1,14,14,0,
2018,1,14,15,0.230876207,
2018,1,14,16,0.42974279,
2018,1,14,17,0.52369664,
2018,1,14,18,0.513743772,
2018,1,14,19,0.47981095,
2018,1,14,20,0.457758882,
2018,1,14,21,0.423942568,
2018,1,14,22,0.389119521,
2018,1,14,23,0.312069611,
2018,1,14,24,0.02095944,
2018,1,15,1,0,
2018,1,15,2,0,
2018,1,15,3,0,
2018,1,15,4,0,
2018,1,15,5,0,
2018,1,15,6,0,
2018,1,15,7,0,
2018,1,15,8,0,
2018,1,15,9,0,
2018,1,15,10,0,
2018,1,15,11,0,
2018,1,15,12,0,
2018,1,15,13,0,
2018,1,15,14,0,
2018,1,15,15,0.229773009,
2018,1,15,16,0.443017854,
2018,1,15,17,0.448837776,
2018,1,15,18,0.429397943,
2018,1,15,19,0.435350518,
2018,1,15,20,0.41450125,
2018,1,15,21,0.38435638,
2018,1,15,22,0.340862619,
2018,1,15,23,0.23162447,
2018,1,15,24,0.02348322,
2018,1,16,1,0,
2018,1,16,2,0,
2018,1,16,3,0,
2018,1,16,4,0,
2018,1,16,5,0,
2018,1,16,6,0,
2018,1,16,7,0,
2018,1,16,8,0,
2018,1,16,9,0,
2018,1,16,10,0,
2018,1,16,11,0,
2018,1,16,12,0,
2018,1,16,13,0,
2018,1,16,14,0,
2018,1,16,15,0.187770875,
2018,1,16,16,0.282704105,
2018,1,16,17,0.266830094,
2018,1,16,18,0.330317875,
2018,1,16,19,0.387477467,
2018,1,16,20,0.453396679,
2018,1,16,21,0.400247953,
2018,1,16,22,0.357052402,
2018,1,16,23,0.221110198,
2018,1,16,24,0.025093052,
2018,1,17,1,0,
2018,1,17,2,0,
2018,1,17,3,0,
2018,1,17,4,0,
2018,1,17,5,0,
2018,1,17,6,0,
2018,1,17,7,0,
2018,1,17,8,0,
2018,1,17,9,0,
2018,1,17,10,0,
2018,1,17,11,0,
2018,1,17,12,0,
2018,1,17,13,0,
2018,1,17,14,0,
2018,1,17,15,0.185002174,
2018,1,17,16,0.377409523,
2018,1,17,17,0.442083115,
2018,1,17,18,0.472110881,
2018,1,17,19,0.466554732,
2018,1,17,20,0.475220816,
2018,1,17,21,0.496382614,
2018,1,17,22,0.525979549,
2018,1,17,23,0.417212923,
2018,1,17,24,0.030464098,
2018,1,18,1,0,
2018,1,18,2,0,
2018,1,18,3,0,
2018,1,18,4,0,
2018,1,18,5,0,
2018,1,18,6,0,
2018,1,18,7,0,
2018,1,18,8,0,
2018,1,18,9,0,
2018,1,18,10,0,
2018,1,18,11,0,
2018,1,18,12,0,
2018,1,18,13,0,
2018,1,18,14,0,
2018,1,18,15,0.335628606,
2018,1,18,16,0.58213882,
2018,1,18,17,0.64174517,
2018,1,18,18,0.59776256,
2018,1,18,19,0.559522445,
2018,1,18,20,0.564763846,
2018,1,18,21,0.605652475,
2018,1,18,22,0.629043859,
2018,1,18,23,0.506297821,
2018,1,18,24,0.037072475,
2018,1,19,1,0,
2018,1,19,2,0,
2018,1,19,3,0,
2018,1,19,4,0,
2018,1,19,5,0,
2018,1,19,6,0,
2018,1,19,7,0,
2018,1,19,8,0,
2018,1,19,9,0,
2018,1,19,10,0,
2018,1,19,11,0,
2018,1,19,12,0,
2018,1,19,13,0,
2018,1,19,14,0,
2018,1,19,15,0.236217803,
2018,1,19,16,0.40567707,
2018,1,19,17,0.48614463,
2018,1,19,18,0.486635829,
2018,1,19,19,0.46681682,
2018,1,19,20,0.452854166,
2018,1,19,21,0.450851254,
2018,1,19,22,0.454254038,
2018,1,19,23,0.371059255,
2018,1,19,24,0.038826891,
2018,1,20,1,0,
2018,1,20,2,0,
2018,1,20,3,0,
2018,1,20,4,0,
2018,1,20,5,0,
2018,1,20,6,0,
2018,1,20,7,0,
2018,1,20,8,0,
2018,1,20,9,0,
2018,1,20,10,0,
2018,1,20,11,0,
2018,1,20,12,0,
2018,1,20,13,0,
2018,1,20,14,0,
2018,1,20,15,0.239885966,
2018,1,20,16,0.432624104,
2018,1,20,17,0.557236092,
2018,1,20,18,0.574935808,
2018,1,20,19,0.558006495,
2018,1,20,20,0.581271027,
2018,1,20,21,0.608628164,
2018,1,20,22,0.623596108,
2018,1,20,23,0.498386214,
2018,1,20,24,0.042877654,
2018,1,21,1,0,
2018,1,21,2,0,
2018,1,21,3,0,
2018,1,21,4,0,
2018,1,21,5,0,
2018,1,21,6,0,
2018,1,21,7,0,
2018,1,21,8,0,
2018,1,21,9,0,
2018,1,21,10,0,
2018,1,21,11,0,
2018,1,21,12,0,
2018,1,21,13,0,
2018,1,21,14,0,
2018,1,21,15,0.397769688,
2018,1,21,16,0.588072225,
2018,1,21,17,0.617494264,
2018,1,21,18,0.605072198,
2018,1,21,19,0.605820835,
2018,1,21,20,0.600724819,
2018,1,21,21,0.600341463,
2018,1,21,22,0.587989056,
2018,1,21,23,0.422426511,
2018,1,21,24,0.04478577,
2018,1,22,1,0,
2018,1,22,2,0,
2018,1,22,3,0,
2018,1,22,4,0,
2018,1,22,5,0,
2018,1,22,6,0,
2018,1,22,7,0,
2018,1,22,8,0,
2018,1,22,9,0,
2018,1,22,10,0,
2018,1,22,11,0,
2018,1,22,12,0,
2018,1,22,13,0,
2018,1,22,14,0,
2018,1,22,15,0.39445856,
2018,1,22,16,0.63038529,
2018,1,22,17,0.674684604,
2018,1,22,18,0.618015458,
2018,1,22,19,0.580201381,
2018,1,22,20,0.579808536,
2018,1,22,21,0.616926,
2018,1,22,22,0.646102912,
2018,1,22,23,0.516894939,
2018,1,22,24,0.046062889,
2018,1,23,1,0,
2018,1,23,2,0,
2018,1,23,3,0,
2018,1,23,4,0,
2018,1,23,5,0,
2018,1,23,6,0,
