Capacity data calculated from MERRA-2,,,,,0.224708791
,,,,,
BEGIN_DATA,,,,,
year,month,day,hour,w_cfs,
2018,1,1,1,0.004465605,
2018,1,1,2,0.015934771,
2018,1,1,3,0.029991056,
2018,1,1,4,0.037753518,
2018,1,1,5,0.043768534,
2018,1,1,6,0.049329104,
2018,1,1,7,0.051966888,
2018,1,1,8,0.052551881,
2018,1,1,9,0.055610942,
2018,1,1,10,0.074922377,
2018,1,1,11,0.107642357,
2018,1,1,12,0.14864157,
2018,1,1,13,0.179369675,
2018,1,1,14,0.180887119,
2018,1,1,15,0.17991019,
2018,1,1,16,0.128599809,
2018,1,1,17,0.049126601,
2018,1,1,18,0.035275566,
2018,1,1,19,0.032393646,
2018,1,1,20,0.025845656,
2018,1,1,21,0.018019021,
2018,1,1,22,0.015582939,
2018,1,1,23,0.031717711,
2018,1,1,24,0.047737066,
2018,1,2,1,0.093215703,
2018,1,2,2,0.161140773,
2018,1,2,3,0.173259174,
2018,1,2,4,0.180444137,
2018,1,2,5,0.177812263,
2018,1,2,6,0.186201417,
2018,1,2,7,0.200114974,
2018,1,2,8,0.213221518,
2018,1,2,9,0.229339284,
2018,1,2,10,0.228391258,
2018,1,2,11,0.248228274,
2018,1,2,12,0.278671851,
2018,1,2,13,0.30096574,
2018,1,2,14,0.309557919,
2018,1,2,15,0.294472212,
2018,1,2,16,0.197248174,
2018,1,2,17,0.144600039,
2018,1,2,18,0.174066337,
2018,1,2,19,0.192388592,
2018,1,2,20,0.171363449,
2018,1,2,21,0.146857708,
2018,1,2,22,0.134726002,
2018,1,2,23,0.147566795,
2018,1,2,24,0.218454685,
2018,1,3,1,0.272559395,
2018,1,3,2,0.296452066,
2018,1,3,3,0.315023598,
2018,1,3,4,0.341287304,
2018,1,3,5,0.359572553,
2018,1,3,6,0.358264957,
2018,1,3,7,0.333416845,
2018,1,3,8,0.304261444,
2018,1,3,9,0.310764161,
2018,1,3,10,0.331182736,
2018,1,3,11,0.350694181,
2018,1,3,12,0.365406125,
2018,1,3,13,0.358122738,
2018,1,3,14,0.346120347,
2018,1,3,15,0.304593832,
2018,1,3,16,0.191480895,
2018,1,3,17,0.128820206,
2018,1,3,18,0.082742785,
2018,1,3,19,0.051261747,
2018,1,3,20,0.032347762,
2018,1,3,21,0.030733127,
2018,1,3,22,0.049262326,
2018,1,3,23,0.094626924,
2018,1,3,24,0.126626158,
2018,1,4,1,0.141123255,
2018,1,4,2,0.15484162,
2018,1,4,3,0.166948499,
2018,1,4,4,0.15221537,
2018,1,4,5,0.163626846,
2018,1,4,6,0.170030825,
2018,1,4,7,0.177594639,
2018,1,4,8,0.181170597,
2018,1,4,9,0.181900503,
2018,1,4,10,0.173739485,
2018,1,4,11,0.150016969,
2018,1,4,12,0.169706683,
2018,1,4,13,0.199054034,
2018,1,4,14,0.223242837,
2018,1,4,15,0.224688301,
2018,1,4,16,0.125432559,
2018,1,4,17,0.062103726,
2018,1,4,18,0.048597597,
2018,1,4,19,0.051930011,
2018,1,4,20,0.0591086,
2018,1,4,21,0.061918741,
2018,1,4,22,0.056131575,
2018,1,4,23,0.053353834,
2018,1,4,24,0.066658311,
2018,1,5,1,0.073365059,
2018,1,5,2,0.080687616,
2018,1,5,3,0.097171155,
2018,1,5,4,0.118463439,
2018,1,5,5,0.154522962,
2018,1,5,6,0.210495849,
2018,1,5,7,0.244477324,
2018,1,5,8,0.268260216,
2018,1,5,9,0.264753497,
2018,1,5,10,0.231269981,
2018,1,5,11,0.1966771,
2018,1,5,12,0.212043059,
2018,1,5,13,0.241198393,
2018,1,5,14,0.227179108,
2018,1,5,15,0.21887045,
2018,1,5,16,0.159044453,
2018,1,5,17,0.101835322,
2018,1,5,18,0.090242349,
2018,1,5,19,0.074414506,
2018,1,5,20,0.072928842,
2018,1,5,21,0.067813147,
2018,1,5,22,0.054076381,
2018,1,5,23,0.063622917,
2018,1,5,24,0.097790376,
2018,1,6,1,0.109867107,
2018,1,6,2,0.104233273,
2018,1,6,3,0.104626136,
2018,1,6,4,0.0997745,
2018,1,6,5,0.089066884,
2018,1,6,6,0.066973756,
2018,1,6,7,0.046490156,
2018,1,6,8,0.041535152,
2018,1,6,9,0.044911114,
2018,1,6,10,0.051068186,
2018,1,6,11,0.058681937,
2018,1,6,12,0.074145246,
2018,1,6,13,0.075161276,
2018,1,6,14,0.091430888,
2018,1,6,15,0.11656391,
2018,1,6,16,0.086856109,
2018,1,6,17,0.041309996,
2018,1,6,18,0.050515784,
2018,1,6,19,0.078690374,
2018,1,6,20,0.110380317,
2018,1,6,21,0.139026699,
2018,1,6,22,0.156154252,
2018,1,6,23,0.143048974,
2018,1,6,24,0.148585987,
2018,1,7,1,0.147068595,
2018,1,7,2,0.128198529,
2018,1,7,3,0.132952536,
2018,1,7,4,0.15618342,
2018,1,7,5,0.173655478,
2018,1,7,6,0.159544323,
2018,1,7,7,0.146733465,
2018,1,7,8,0.162835163,
2018,1,7,9,0.185570007,
2018,1,7,10,0.215555175,
2018,1,7,11,0.236496979,
2018,1,7,12,0.243764986,
2018,1,7,13,0.237580827,
2018,1,7,14,0.2368303,
2018,1,7,15,0.188303848,
2018,1,7,16,0.110380075,
2018,1,7,17,0.087252349,
2018,1,7,18,0.070471715,
2018,1,7,19,0.042845922,
2018,1,7,20,0.031251811,
2018,1,7,21,0.022725777,
2018,1,7,22,0.020479073,
2018,1,7,23,0.032034316,
2018,1,7,24,0.066839543,
2018,1,8,1,0.102646,
2018,1,8,2,0.114865903,
2018,1,8,3,0.112912899,
2018,1,8,4,0.116795475,
2018,1,8,5,0.128730766,
2018,1,8,6,0.137300255,
2018,1,8,7,0.131091935,
2018,1,8,8,0.11229355,
2018,1,8,9,0.092859732,
2018,1,8,10,0.079525766,
2018,1,8,11,0.078536053,
2018,1,8,12,0.071619314,
2018,1,8,13,0.068218986,
2018,1,8,14,0.070523119,
2018,1,8,15,0.077516886,
2018,1,8,16,0.07685059,
2018,1,8,17,0.066408753,
2018,1,8,18,0.07569414,
2018,1,8,19,0.094003435,
2018,1,8,20,0.104549015,
2018,1,8,21,0.114111584,
2018,1,8,22,0.110949523,
2018,1,8,23,0.135663105,
2018,1,8,24,0.17453484,
2018,1,9,1,0.198385054,
2018,1,9,2,0.200601448,
2018,1,9,3,0.20084287,
2018,1,9,4,0.205867513,
2018,1,9,5,0.208327826,
2018,1,9,6,0.241780056,
2018,1,9,7,0.277029651,
2018,1,9,8,0.297232442,
2018,1,9,9,0.302453974,
2018,1,9,10,0.311388224,
2018,1,9,11,0.327335697,
2018,1,9,12,0.372679399,
2018,1,9,13,0.404563542,
2018,1,9,14,0.347451156,
2018,1,9,15,0.291253523,
2018,1,9,16,0.210585202,
2018,1,9,17,0.173910384,
2018,1,9,18,0.183309866,
2018,1,9,19,0.216027862,
2018,1,9,20,0.257978365,
2018,1,9,21,0.279501359,
2018,1,9,22,0.25577839,
2018,1,9,23,0.226336757,
2018,1,9,24,0.230892688,
2018,1,10,1,0.23172885,
2018,1,10,2,0.199817417,
2018,1,10,3,0.171372081,
2018,1,10,4,0.15881782,
2018,1,10,5,0.17339783,
2018,1,10,6,0.184615626,
2018,1,10,7,0.195566946,
2018,1,10,8,0.236174576,
2018,1,10,9,0.259151659,
2018,1,10,10,0.259100308,
2018,1,10,11,0.250573314,
2018,1,10,12,0.229368645,
2018,1,10,13,0.218303638,
2018,1,10,14,0.209419717,
2018,1,10,15,0.179323486,
2018,1,10,16,0.133645722,
2018,1,10,17,0.131498246,
2018,1,10,18,0.129884902,
2018,1,10,19,0.130793151,
2018,1,10,20,0.141946718,
2018,1,10,21,0.159531134,
2018,1,10,22,0.165433243,
2018,1,10,23,0.161584803,
2018,1,10,24,0.176231295,
2018,1,11,1,0.199852503,
2018,1,11,2,0.181248307,
2018,1,11,3,0.154677541,
2018,1,11,4,0.134515825,
2018,1,11,5,0.125054147,
2018,1,11,6,0.117077591,
2018,1,11,7,0.102383835,
2018,1,11,8,0.090399256,
2018,1,11,9,0.082194568,
2018,1,11,10,0.076081862,
2018,1,11,11,0.082572618,
2018,1,11,12,0.09305507,
2018,1,11,13,0.095331203,
2018,1,11,14,0.09580735,
2018,1,11,15,0.10703912,
2018,1,11,16,0.073150568,
2018,1,11,17,0.068233238,
2018,1,11,18,0.09202402,
2018,1,11,19,0.10674212,
2018,1,11,20,0.104492543,
2018,1,11,21,0.102726518,
2018,1,11,22,0.113387749,
2018,1,11,23,0.115811245,
2018,1,11,24,0.128429049,
2018,1,12,1,0.126202669,
2018,1,12,2,0.109226047,
2018,1,12,3,0.09723453,
2018,1,12,4,0.091966373,
2018,1,12,5,0.091637599,
2018,1,12,6,0.086269464,
2018,1,12,7,0.092613035,
2018,1,12,8,0.0986659,
2018,1,12,9,0.098018057,
2018,1,12,10,0.096552332,
2018,1,12,11,0.106228274,
2018,1,12,12,0.117020903,
2018,1,12,13,0.113775211,
2018,1,12,14,0.105141823,
2018,1,12,15,0.085126481,
2018,1,12,16,0.033297342,
2018,1,12,17,0.021601127,
2018,1,12,18,0.027821544,
2018,1,12,19,0.045743513,
2018,1,12,20,0.069513636,
2018,1,12,21,0.091327947,
2018,1,12,22,0.106814945,
2018,1,12,23,0.122853628,
2018,1,12,24,0.197972713,
2018,1,13,1,0.282112439,
2018,1,13,2,0.347234128,
2018,1,13,3,0.401864467,
2018,1,13,4,0.444614112,
2018,1,13,5,0.474526337,
2018,1,13,6,0.488661109,
2018,1,13,7,0.495752182,
2018,1,13,8,0.489615566,
2018,1,13,9,0.476210952,
2018,1,13,10,0.470994211,
2018,1,13,11,0.464630449,
2018,1,13,12,0.47162717,
2018,1,13,13,0.486545727,
2018,1,13,14,0.488338409,
2018,1,13,15,0.429427345,
2018,1,13,16,0.214021735,
2018,1,13,17,0.1567504,
2018,1,13,18,0.16897411,
2018,1,13,19,0.16653009,
2018,1,13,20,0.157828828,
2018,1,13,21,0.15267451,
2018,1,13,22,0.147366718,
2018,1,13,23,0.146692129,
2018,1,13,24,0.200911189,
2018,1,14,1,0.259867446,
2018,1,14,2,0.289229817,
2018,1,14,3,0.301103263,
2018,1,14,4,0.30750762,
2018,1,14,5,0.317690341,
2018,1,14,6,0.330399053,
2018,1,14,7,0.338737965,
2018,1,14,8,0.346419042,
2018,1,14,9,0.363327476,
2018,1,14,10,0.382831246,
2018,1,14,11,0.391373209,
2018,1,14,12,0.384752221,
2018,1,14,13,0.369013061,
2018,1,14,14,0.35208275,
2018,1,14,15,0.297362175,
2018,1,14,16,0.161162866,
2018,1,14,17,0.105121263,
2018,1,14,18,0.087569353,
2018,1,14,19,0.064994753,
2018,1,14,20,0.048948704,
2018,1,14,21,0.039227908,
2018,1,14,22,0.034003886,
2018,1,14,23,0.039336224,
2018,1,14,24,0.063037856,
2018,1,15,1,0.103978847,
2018,1,15,2,0.119394866,
2018,1,15,3,0.124270239,
2018,1,15,4,0.13326385,
2018,1,15,5,0.126539173,
2018,1,15,6,0.122360802,
2018,1,15,7,0.126106505,
2018,1,15,8,0.126049962,
2018,1,15,9,0.14962547,
2018,1,15,10,0.163412984,
2018,1,15,11,0.171919973,
2018,1,15,12,0.183242156,
2018,1,15,13,0.199979279,
2018,1,15,14,0.198945818,
2018,1,15,15,0.20307041,
2018,1,15,16,0.119133096,
2018,1,15,17,0.053305967,
2018,1,15,18,0.032317394,
2018,1,15,19,0.037392048,
2018,1,15,20,0.038518303,
2018,1,15,21,0.039570531,
2018,1,15,22,0.040204987,
2018,1,15,23,0.045043274,
2018,1,15,24,0.063069221,
2018,1,16,1,0.079420077,
2018,1,16,2,0.091133758,
2018,1,16,3,0.10087223,
2018,1,16,4,0.112968853,
2018,1,16,5,0.122431523,
2018,1,16,6,0.145108195,
2018,1,16,7,0.146702004,
2018,1,16,8,0.150433682,
2018,1,16,9,0.147898158,
2018,1,16,10,0.12270156,
2018,1,16,11,0.125087222,
2018,1,16,12,0.150515298,
2018,1,16,13,0.127063716,
2018,1,16,14,0.112731715,
2018,1,16,15,0.090624595,
2018,1,16,16,0.046311772,
2018,1,16,17,0.031261994,
2018,1,16,18,0.01879054,
2018,1,16,19,0.013572304,
2018,1,16,20,0.014568168,
2018,1,16,21,0.018746687,
2018,1,16,22,0.018946563,
2018,1,16,23,0.027737382,
2018,1,16,24,0.046586495,
2018,1,17,1,0.068455658,
2018,1,17,2,0.081740982,
2018,1,17,3,0.094624682,
2018,1,17,4,0.102361598,
2018,1,17,5,0.093373988,
2018,1,17,6,0.101266841,
2018,1,17,7,0.107341866,
2018,1,17,8,0.107617202,
2018,1,17,9,0.110888658,
2018,1,17,10,0.092747875,
2018,1,17,11,0.082612844,
2018,1,17,12,0.086990349,
2018,1,17,13,0.094628744,
2018,1,17,14,0.103544409,
2018,1,17,15,0.100617963,
2018,1,17,16,0.055614094,
2018,1,17,17,0.036966664,
2018,1,17,18,0.048073813,
2018,1,17,19,0.051564822,
2018,1,17,20,0.056904556,
2018,1,17,21,0.046267777,
2018,1,17,22,0.037307162,
2018,1,17,23,0.038858132,
2018,1,17,24,0.066773275,
2018,1,18,1,0.087150046,
2018,1,18,2,0.104186506,
2018,1,18,3,0.131233879,
2018,1,18,4,0.162163128,
2018,1,18,5,0.164176503,
2018,1,18,6,0.135576053,
2018,1,18,7,0.135646435,
2018,1,18,8,0.148624467,
2018,1,18,9,0.165810945,
2018,1,18,10,0.2091885,
2018,1,18,11,0.225049985,
2018,1,18,12,0.204804218,
2018,1,18,13,0.187924977,
2018,1,18,14,0.171855304,
2018,1,18,15,0.176496068,
2018,1,18,16,0.133396486,
2018,1,18,17,0.098390794,
2018,1,18,18,0.097499765,
2018,1,18,19,0.122828922,
2018,1,18,20,0.137666535,
2018,1,18,21,0.142090922,
2018,1,18,22,0.138347928,
2018,1,18,23,0.142214241,
2018,1,18,24,0.171617081,
2018,1,19,1,0.215704974,
2018,1,19,2,0.224523964,
2018,1,19,3,0.218011865,
2018,1,19,4,0.206421775,
2018,1,19,5,0.187700949,
2018,1,19,6,0.18327081,
2018,1,19,7,0.191962268,
2018,1,19,8,0.208251385,
2018,1,19,9,0.210622717,
2018,1,19,10,0.208954516,
2018,1,19,11,0.218732187,
2018,1,19,12,0.198092438,
2018,1,19,13,0.170565631,
2018,1,19,14,0.160898213,
2018,1,19,15,0.134876812,
2018,1,19,16,0.074329083,
2018,1,19,17,0.087499471,
2018,1,19,18,0.109771054,
2018,1,19,19,0.139530122,
2018,1,19,20,0.163098516,
2018,1,19,21,0.179992079,
2018,1,19,22,0.187122777,
2018,1,19,23,0.193984845,
