Capacity data calculated from MERRA-2,,,,,0.264906501
,,,,,
BEGIN_DATA,,,,,
year,month,day,hour,s_cfs,
2018,1,1,1,0,
2018,1,1,2,0,
2018,1,1,3,0,
2018,1,1,4,0,
2018,1,1,5,0,
2018,1,1,6,0,
2018,1,1,7,0,
2018,1,1,8,0,
2018,1,1,9,0,
2018,1,1,10,0,
2018,1,1,11,0,
2018,1,1,12,0,
2018,1,1,13,0,
2018,1,1,14,0.30836128,
2018,1,1,15,0.531086104,
2018,1,1,16,0.602293364,
2018,1,1,17,0.60584241,
2018,1,1,18,0.600183525,
2018,1,1,19,0.622942363,
2018,1,1,20,0.668771947,
2018,1,1,21,0.668761498,
2018,1,1,22,0.523206778,
2018,1,1,23,0.026983827,
2018,1,1,24,0,
2018,1,2,1,0,
2018,1,2,2,0,
2018,1,2,3,0,
2018,1,2,4,0,
2018,1,2,5,0,
2018,1,2,6,0,
2018,1,2,7,0,
2018,1,2,8,0,
2018,1,2,9,0,
2018,1,2,10,0,
2018,1,2,11,0,
2018,1,2,12,0,
2018,1,2,13,0,
2018,1,2,14,0.369143342,
2018,1,2,15,0.616324657,
2018,1,2,16,0.644546755,
2018,1,2,17,0.596216114,
2018,1,2,18,0.567444976,
2018,1,2,19,0.574994454,
2018,1,2,20,0.606808133,
2018,1,2,21,0.621261784,
2018,1,2,22,0.493693609,
2018,1,2,23,0.019366022,
2018,1,2,24,0,
2018,1,3,1,0,
2018,1,3,2,0,
2018,1,3,3,0,
2018,1,3,4,0,
2018,1,3,5,0,
2018,1,3,6,0,
2018,1,3,7,0,
2018,1,3,8,0,
2018,1,3,9,0,
2018,1,3,10,0,
2018,1,3,11,0,
2018,1,3,12,0,
2018,1,3,13,0,
2018,1,3,14,0.343973966,
2018,1,3,15,0.698524049,
2018,1,3,16,0.698583353,
2018,1,3,17,0.647790861,
2018,1,3,18,0.621554095,
2018,1,3,19,0.624943175,
2018,1,3,20,0.649120429,
2018,1,3,21,0.680309547,
2018,1,3,22,0.522569055,
2018,1,3,23,0.023627615,
2018,1,3,24,0,
2018,1,4,1,0,
2018,1,4,2,0,
2018,1,4,3,0,
2018,1,4,4,0,
2018,1,4,5,0,
2018,1,4,6,0,
2018,1,4,7,0,
2018,1,4,8,0,
2018,1,4,9,0,
2018,1,4,10,0,
2018,1,4,11,0,
2018,1,4,12,0,
2018,1,4,13,0,
2018,1,4,14,0.204545561,
2018,1,4,15,0.371067117,
2018,1,4,16,0.385435669,
2018,1,4,17,0.34530935,
2018,1,4,18,0.323585719,
2018,1,4,19,0.292056,
2018,1,4,20,0.219682267,
2018,1,4,21,0.147998944,
2018,1,4,22,0.081752478,
2018,1,4,23,0.00305067,
2018,1,4,24,0,
2018,1,5,1,0,
2018,1,5,2,0,
2018,1,5,3,0,
2018,1,5,4,0,
2018,1,5,5,0,
2018,1,5,6,0,
2018,1,5,7,0,
2018,1,5,8,0,
2018,1,5,9,0,
2018,1,5,10,0,
2018,1,5,11,0,
2018,1,5,12,0,
2018,1,5,13,0,
2018,1,5,14,0.433919386,
2018,1,5,15,0.662325769,
2018,1,5,16,0.695188575,
2018,1,5,17,0.636763794,
2018,1,5,18,0.610444249,
2018,1,5,19,0.610547661,
2018,1,5,20,0.633001393,
2018,1,5,21,0.626752286,
2018,1,5,22,0.432600926,
2018,1,5,23,0.024345635,
2018,1,5,24,0,
2018,1,6,1,0,
2018,1,6,2,0,
2018,1,6,3,0,
2018,1,6,4,0,
2018,1,6,5,0,
2018,1,6,6,0,
2018,1,6,7,0,
2018,1,6,8,0,
2018,1,6,9,0,
2018,1,6,10,0,
2018,1,6,11,0,
2018,1,6,12,0,
2018,1,6,13,0,
2018,1,6,14,0.192042028,
2018,1,6,15,0.363101198,
2018,1,6,16,0.535657423,
2018,1,6,17,0.569470522,
2018,1,6,18,0.565738904,
2018,1,6,19,0.574169816,
2018,1,6,20,0.619162271,
2018,1,6,21,0.584061686,
2018,1,6,22,0.463454137,
2018,1,6,23,0.025611999,
2018,1,6,24,0,
2018,1,7,1,0,
2018,1,7,2,0,
2018,1,7,3,0,
2018,1,7,4,0,
2018,1,7,5,0,
2018,1,7,6,0,
2018,1,7,7,0,
2018,1,7,8,0,
2018,1,7,9,0,
2018,1,7,10,0,
2018,1,7,11,0,
2018,1,7,12,0,
2018,1,7,13,0,
2018,1,7,14,0.040252603,
2018,1,7,15,0.157454166,
2018,1,7,16,0.280946741,
2018,1,7,17,0.367631419,
2018,1,7,18,0.418892872,
2018,1,7,19,0.441868083,
2018,1,7,20,0.500741971,
2018,1,7,21,0.570900211,
2018,1,7,22,0.477975219,
2018,1,7,23,0.034573225,
2018,1,7,24,0,
2018,1,8,1,0,
2018,1,8,2,0,
2018,1,8,3,0,
2018,1,8,4,0,
2018,1,8,5,0,
2018,1,8,6,0,
2018,1,8,7,0,
2018,1,8,8,0,
2018,1,8,9,0,
2018,1,8,10,0,
2018,1,8,11,0,
2018,1,8,12,0,
2018,1,8,13,0,
2018,1,8,14,0.30622818,
2018,1,8,15,0.641795026,
2018,1,8,16,0.67694649,
2018,1,8,17,0.62297028,
2018,1,8,18,0.576598871,
2018,1,8,19,0.548080854,
2018,1,8,20,0.522398828,
2018,1,8,21,0.494180699,
2018,1,8,22,0.452043798,
2018,1,8,23,0.041665875,
2018,1,8,24,0,
2018,1,9,1,0,
2018,1,9,2,0,
2018,1,9,3,0,
2018,1,9,4,0,
2018,1,9,5,0,
2018,1,9,6,0,
2018,1,9,7,0,
2018,1,9,8,0,
2018,1,9,9,0,
2018,1,9,10,0,
2018,1,9,11,0,
2018,1,9,12,0,
2018,1,9,13,0,
2018,1,9,14,0.301426986,
2018,1,9,15,0.5608094,
2018,1,9,16,0.620793657,
2018,1,9,17,0.592411814,
2018,1,9,18,0.562714187,
2018,1,9,19,0.5638825,
2018,1,9,20,0.584571145,
2018,1,9,21,0.577992404,
2018,1,9,22,0.46342415,
2018,1,9,23,0.041035664,
2018,1,9,24,0,
2018,1,10,1,0,
2018,1,10,2,0,
2018,1,10,3,0,
2018,1,10,4,0,
2018,1,10,5,0,
2018,1,10,6,0,
2018,1,10,7,0,
2018,1,10,8,0,
2018,1,10,9,0,
2018,1,10,10,0,
2018,1,10,11,0,
2018,1,10,12,0,
2018,1,10,13,0,
2018,1,10,14,0.185259473,
2018,1,10,15,0.437883979,
2018,1,10,16,0.547413779,
2018,1,10,17,0.550415721,
2018,1,10,18,0.548164844,
2018,1,10,19,0.571713873,
2018,1,10,20,0.608712838,
2018,1,10,21,0.617775154,
2018,1,10,22,0.482412893,
2018,1,10,23,0.03997152,
2018,1,10,24,0,
2018,1,11,1,0,
2018,1,11,2,0,
2018,1,11,3,0,
2018,1,11,4,0,
2018,1,11,5,0,
2018,1,11,6,0,
2018,1,11,7,0,
2018,1,11,8,0,
2018,1,11,9,0,
2018,1,11,10,0,
2018,1,11,11,0,
2018,1,11,12,0,
2018,1,11,13,0,
2018,1,11,14,0.186583199,
2018,1,11,15,0.332692981,
2018,1,11,16,0.438422537,
2018,1,11,17,0.521555436,
2018,1,11,18,0.556721823,
2018,1,11,19,0.594508025,
2018,1,11,20,0.652499932,
2018,1,11,21,0.693980989,
2018,1,11,22,0.534914146,
2018,1,11,23,0.038835064,
2018,1,11,24,0,
2018,1,12,1,0,
2018,1,12,2,0,
2018,1,12,3,0,
2018,1,12,4,0,
2018,1,12,5,0,
2018,1,12,6,0,
2018,1,12,7,0,
2018,1,12,8,0,
2018,1,12,9,0,
2018,1,12,10,0,
2018,1,12,11,0,
2018,1,12,12,0,
2018,1,12,13,0,
2018,1,12,14,0.321195897,
2018,1,12,15,0.694972353,
2018,1,12,16,0.714940858,
2018,1,12,17,0.656025266,
2018,1,12,18,0.630613871,
2018,1,12,19,0.632406564,
2018,1,12,20,0.659066503,
2018,1,12,21,0.686361757,
2018,1,12,22,0.528476916,
2018,1,12,23,0.037963584,
2018,1,12,24,0,
2018,1,13,1,0,
2018,1,13,2,0,
2018,1,13,3,0,
2018,1,13,4,0,
2018,1,13,5,0,
2018,1,13,6,0,
2018,1,13,7,0,
2018,1,13,8,0,
2018,1,13,9,0,
2018,1,13,10,0,
2018,1,13,11,0,
2018,1,13,12,0,
2018,1,13,13,0,
2018,1,13,14,0.294748577,
2018,1,13,15,0.689728877,
2018,1,13,16,0.72110917,
2018,1,13,17,0.664392829,
2018,1,13,18,0.63767624,
2018,1,13,19,0.639875117,
2018,1,13,20,0.673234967,
2018,1,13,21,0.688550786,
2018,1,13,22,0.540222158,
2018,1,13,23,0.045586098,
2018,1,13,24,0,
2018,1,14,1,0,
2018,1,14,2,0,
2018,1,14,3,0,
2018,1,14,4,0,
2018,1,14,5,0,
2018,1,14,6,0,
2018,1,14,7,0,
2018,1,14,8,0,
2018,1,14,9,0,
2018,1,14,10,0,
2018,1,14,11,0,
2018,1,14,12,0,
2018,1,14,13,2.31E-06,
2018,1,14,14,0.438672332,
2018,1,14,15,0.666823896,
2018,1,14,16,0.702315525,
2018,1,14,17,0.651985554,
2018,1,14,18,0.622046271,
2018,1,14,19,0.625511965,
2018,1,14,20,0.658655314,
2018,1,14,21,0.681005035,
2018,1,14,22,0.566063047,
2018,1,14,23,0.042518104,
2018,1,14,24,0,
2018,1,15,1,0,
2018,1,15,2,0,
2018,1,15,3,0,
2018,1,15,4,0,
2018,1,15,5,0,
2018,1,15,6,0,
2018,1,15,7,0,
2018,1,15,8,0,
2018,1,15,9,0,
2018,1,15,10,0,
2018,1,15,11,0,
2018,1,15,12,0,
2018,1,15,13,0,
2018,1,15,14,0.289124254,
2018,1,15,15,0.533312442,
2018,1,15,16,0.632304279,
2018,1,15,17,0.608856824,
2018,1,15,18,0.581497753,
2018,1,15,19,0.583050265,
2018,1,15,20,0.597646736,
2018,1,15,21,0.579281964,
2018,1,15,22,0.446719331,
2018,1,15,23,0.054102715,
2018,1,15,24,0,
2018,1,16,1,0,
2018,1,16,2,0,
2018,1,16,3,0,
2018,1,16,4,0,
2018,1,16,5,0,
2018,1,16,6,0,
2018,1,16,7,0,
2018,1,16,8,0,
2018,1,16,9,0,
2018,1,16,10,0,
2018,1,16,11,0,
2018,1,16,12,0,
2018,1,16,13,0,
2018,1,16,14,0.269745765,
2018,1,16,15,0.576588682,
2018,1,16,16,0.651122169,
2018,1,16,17,0.638954441,
2018,1,16,18,0.613509952,
2018,1,16,19,0.612743889,
2018,1,16,20,0.639445396,
2018,1,16,21,0.684258025,
2018,1,16,22,0.569824448,
2018,1,16,23,0.060486406,
2018,1,16,24,0,
2018,1,17,1,0,
2018,1,17,2,0,
2018,1,17,3,0,
2018,1,17,4,0,
2018,1,17,5,0,
2018,1,17,6,0,
2018,1,17,7,0,
2018,1,17,8,0,
2018,1,17,9,0,
2018,1,17,10,0,
2018,1,17,11,0,
2018,1,17,12,0,
2018,1,17,13,3.22E-05,
2018,1,17,14,0.419287125,
2018,1,17,15,0.73154852,
2018,1,17,16,0.747246923,
2018,1,17,17,0.687789869,
2018,1,17,18,0.664551265,
2018,1,17,19,0.667383566,
2018,1,17,20,0.688106501,
2018,1,17,21,0.724864937,
2018,1,17,22,0.574795747,
2018,1,17,23,0.060914802,
2018,1,17,24,0,
2018,1,18,1,0,
2018,1,18,2,0,
2018,1,18,3,0,
2018,1,18,4,0,
2018,1,18,5,0,
2018,1,18,6,0,
2018,1,18,7,0,
2018,1,18,8,0,
2018,1,18,9,0,
2018,1,18,10,0,
2018,1,18,11,0,
2018,1,18,12,0,
2018,1,18,13,1.44E-05,
2018,1,18,14,0.323452306,
2018,1,18,15,0.639391047,
2018,1,18,16,0.70771218,
2018,1,18,17,0.672012677,
2018,1,18,18,0.646314195,
2018,1,18,19,0.649021723,
2018,1,18,20,0.674209374,
2018,1,18,21,0.702094066,
2018,1,18,22,0.574111793,
2018,1,18,23,0.067827263,
2018,1,18,24,0,
2018,1,19,1,0,
2018,1,19,2,0,
2018,1,19,3,0,
2018,1,19,4,0,
2018,1,19,5,0,
2018,1,19,6,0,
2018,1,19,7,0,
2018,1,19,8,0,
2018,1,19,9,0,
2018,1,19,10,0,
2018,1,19,11,0,
2018,1,19,12,0,
2018,1,19,13,0,
2018,1,19,14,0.318854997,
2018,1,19,15,0.709701227,
2018,1,19,16,0.705306487,
2018,1,19,17,0.669776003,
2018,1,19,18,0.642749855,
2018,1,19,19,0.642150947,
2018,1,19,20,0.655337258,
2018,1,19,21,0.696125585,
2018,1,19,22,0.574828043,
2018,1,19,23,0.069865233,
2018,1,19,24,0,
2018,1,20,1,0,
2018,1,20,2,0,
2018,1,20,3,0,
2018,1,20,4,0,
2018,1,20,5,0,
2018,1,20,6,0,
2018,1,20,7,0,
2018,1,20,8,0,
2018,1,20,9,0,
2018,1,20,10,0,
2018,1,20,11,0,
2018,1,20,12,0,
2018,1,20,13,2.31E-05,
2018,1,20,14,0.358782671,
2018,1,20,15,0.693047632,
2018,1,20,16,0.707252492,
2018,1,20,17,0.648601435,
2018,1,20,18,0.62074901,
2018,1,20,19,0.620323473,
2018,1,20,20,0.640600286,
2018,1,20,21,0.67455232,
2018,1,20,22,0.558643468,
2018,1,20,23,0.072368428,
2018,1,20,24,0,
2018,1,21,1,0,
2018,1,21,2,0,
2018,1,21,3,0,
2018,1,21,4,0,
2018,1,21,5,0,
2018,1,21,6,0,
2018,1,21,7,0,
2018,1,21,8,0,
2018,1,21,9,0,
2018,1,21,10,0,
2018,1,21,11,0,
2018,1,21,12,0,
2018,1,21,13,5.40E-06,
2018,1,21,14,0.32684119,
2018,1,21,15,0.665766977,
2018,1,21,16,0.69691244,
2018,1,21,17,0.657846545,
2018,1,21,18,0.641320139,
2018,1,21,19,0.648281545,
2018,1,21,20,0.669081014,
2018,1,21,21,0.703735253,
2018,1,21,22,0.583759062,
2018,1,21,23,0.066202031,
2018,1,21,24,0,
2018,1,22,1,0,
2018,1,22,2,0,
2018,1,22,3,0,
2018,1,22,4,0,
2018,1,22,5,0,
2018,1,22,6,0,
2018,1,22,7,0,
2018,1,22,8,0,
2018,1,22,9,0,
2018,1,22,10,0,
2018,1,22,11,0,
2018,1,22,12,0,
2018,1,22,13,0.000154139,
2018,1,22,14,0.401386099,
2018,1,22,15,0.736123996,
2018,1,22,16,0.722284804,
2018,1,22,17,0.684146706,
2018,1,22,18,0.664067023,
2018,1,22,19,0.668258763,
2018,1,22,20,0.686173973,
2018,1,22,21,0.717297303,
2018,1,22,22,0.567572953,
2018,1,22,23,0.072907378,
2018,1,22,24,0,
2018,1,23,1,0,
2018,1,23,2,0,
2018,1,23,3,0,
