Capacity data calculated from MERRA-2,,,,,0.430037344
,,,,,
BEGIN_DATA,,,,,
year,month,day,hour,w_cfs,
2018,1,1,1,0.252574825,
2018,1,1,2,0.262826761,
2018,1,1,3,0.24270697,
2018,1,1,4,0.209977412,
2018,1,1,5,0.187782042,
2018,1,1,6,0.171523887,
2018,1,1,7,0.152722867,
2018,1,1,8,0.134780724,
2018,1,1,9,0.128582531,
2018,1,1,10,0.125803317,
2018,1,1,11,0.122399595,
2018,1,1,12,0.120802941,
2018,1,1,13,0.116776749,
2018,1,1,14,0.106241793,
2018,1,1,15,0.080591582,
2018,1,1,16,0.051387462,
2018,1,1,17,0.028626,
2018,1,1,18,0.016116174,
2018,1,1,19,0.007144517,
2018,1,1,20,0.007632142,
2018,1,1,21,0.008783949,
2018,1,1,22,0.011554314,
2018,1,1,23,0.021707001,
2018,1,1,24,0.053910754,
2018,1,2,1,0.074577172,
2018,1,2,2,0.079459757,
2018,1,2,3,0.079831877,
2018,1,2,4,0.077387409,
2018,1,2,5,0.067546744,
2018,1,2,6,0.056515506,
2018,1,2,7,0.049047394,
2018,1,2,8,0.047533619,
2018,1,2,9,0.043397659,
2018,1,2,10,0.038974524,
2018,1,2,11,0.038309035,
2018,1,2,12,0.039217566,
2018,1,2,13,0.039005003,
2018,1,2,14,0.028173897,
2018,1,2,15,0.009385952,
2018,1,2,16,0.001811917,
2018,1,2,17,0,
2018,1,2,18,0,
2018,1,2,19,0.00922726,
2018,1,2,20,0.0326029,
2018,1,2,21,0.057611385,
2018,1,2,22,0.073721783,
2018,1,2,23,0.078813967,
2018,1,2,24,0.064147787,
2018,1,3,1,0.035426175,
2018,1,3,2,0.021949457,
2018,1,3,3,0.028601101,
2018,1,3,4,0.077680943,
2018,1,3,5,0.230422803,
2018,1,3,6,0.497775776,
2018,1,3,7,0.680018589,
2018,1,3,8,0.7712823,
2018,1,3,9,0.802497615,
2018,1,3,10,0.815386491,
2018,1,3,11,0.814816247,
2018,1,3,12,0.819770106,
2018,1,3,13,0.824030708,
2018,1,3,14,0.546997678,
2018,1,3,15,0.173448745,
2018,1,3,16,0.080782915,
2018,1,3,17,0.094093782,
2018,1,3,18,0.060862524,
2018,1,3,19,0.036323637,
2018,1,3,20,0.022849291,
2018,1,3,21,0.015347878,
2018,1,3,22,0.01376118,
2018,1,3,23,0.013347934,
2018,1,3,24,0.028254156,
2018,1,4,1,0.059728154,
2018,1,4,2,0.10359653,
2018,1,4,3,0.168281187,
2018,1,4,4,0.2394517,
2018,1,4,5,0.2931452,
2018,1,4,6,0.322105217,
2018,1,4,7,0.33151842,
2018,1,4,8,0.339971351,
2018,1,4,9,0.329708654,
2018,1,4,10,0.293970455,
2018,1,4,11,0.268476766,
2018,1,4,12,0.257485744,
2018,1,4,13,0.248463995,
2018,1,4,14,0.206443774,
2018,1,4,15,0.063423126,
2018,1,4,16,0.046654709,
2018,1,4,17,0.108874544,
2018,1,4,18,0.152454101,
2018,1,4,19,0.172029877,
2018,1,4,20,0.187382564,
2018,1,4,21,0.246645369,
2018,1,4,22,0.399065749,
2018,1,4,23,0.547779661,
2018,1,4,24,0.63108668,
2018,1,5,1,0.631783722,
2018,1,5,2,0.592195252,
2018,1,5,3,0.536750781,
2018,1,5,4,0.4719673,
2018,1,5,5,0.411496402,
2018,1,5,6,0.361435414,
2018,1,5,7,0.338561505,
2018,1,5,8,0.349093916,
2018,1,5,9,0.368713903,
2018,1,5,10,0.379207558,
2018,1,5,11,0.382306459,
2018,1,5,12,0.371816156,
2018,1,5,13,0.357863713,
2018,1,5,14,0.205590172,
2018,1,5,15,0.065725165,
2018,1,5,16,0.076746678,
2018,1,5,17,0.063606774,
2018,1,5,18,0.046366036,
2018,1,5,19,0.039589801,
2018,1,5,20,0.039916413,
2018,1,5,21,0.051370056,
2018,1,5,22,0.067961258,
2018,1,5,23,0.07974013,
2018,1,5,24,0.111565577,
2018,1,6,1,0.175496409,
2018,1,6,2,0.244379191,
2018,1,6,3,0.31078337,
2018,1,6,4,0.340525809,
2018,1,6,5,0.341838684,
2018,1,6,6,0.328270253,
2018,1,6,7,0.322693419,
2018,1,6,8,0.329912039,
2018,1,6,9,0.331846327,
2018,1,6,10,0.319933186,
2018,1,6,11,0.266178648,
2018,1,6,12,0.194498386,
2018,1,6,13,0.143559512,
2018,1,6,14,0.086215263,
2018,1,6,15,0.024564043,
2018,1,6,16,0.021399876,
2018,1,6,17,0.036050031,
2018,1,6,18,0.06516149,
2018,1,6,19,0.132116847,
2018,1,6,20,0.229151478,
2018,1,6,21,0.313094711,
2018,1,6,22,0.51732883,
2018,1,6,23,0.841264442,
2018,1,6,24,0.97520568,
2018,1,7,1,0.999589699,
2018,1,7,2,0.998415282,
2018,1,7,3,0.995405626,
2018,1,7,4,0.993069187,
2018,1,7,5,0.96409429,
2018,1,7,6,0.90400957,
2018,1,7,7,0.844346499,
2018,1,7,8,0.801418536,
2018,1,7,9,0.742418867,
2018,1,7,10,0.739744663,
2018,1,7,11,0.812993903,
2018,1,7,12,0.81459796,
2018,1,7,13,0.798067877,
2018,1,7,14,0.721354943,
2018,1,7,15,0.602730251,
2018,1,7,16,0.609313494,
2018,1,7,17,0.634820463,
2018,1,7,18,0.689567035,
2018,1,7,19,0.789345236,
2018,1,7,20,0.883100336,
2018,1,7,21,0.925679447,
2018,1,7,22,0.945869185,
2018,1,7,23,0.987011056,
2018,1,7,24,0.982160152,
2018,1,8,1,0.987079567,
2018,1,8,2,0.945624694,
2018,1,8,3,0.874067485,
2018,1,8,4,0.814176232,
2018,1,8,5,0.77056279,
2018,1,8,6,0.729143047,
2018,1,8,7,0.678483805,
2018,1,8,8,0.634706088,
2018,1,8,9,0.571477375,
2018,1,8,10,0.468478864,
2018,1,8,11,0.353493136,
2018,1,8,12,0.255051314,
2018,1,8,13,0.179160297,
2018,1,8,14,0.094639026,
2018,1,8,15,0.016273361,
2018,1,8,16,0.010029879,
2018,1,8,17,0.030717907,
2018,1,8,18,0.045250159,
2018,1,8,19,0.049362359,
2018,1,8,20,0.051107524,
2018,1,8,21,0.063392267,
2018,1,8,22,0.132549691,
2018,1,8,23,0.270193167,
2018,1,8,24,0.412124358,
2018,1,9,1,0.516357587,
2018,1,9,2,0.590838961,
2018,1,9,3,0.645680385,
2018,1,9,4,0.668364311,
2018,1,9,5,0.680446942,
2018,1,9,6,0.701474465,
2018,1,9,7,0.731685432,
2018,1,9,8,0.76707594,
2018,1,9,9,0.796299714,
2018,1,9,10,0.829613937,
2018,1,9,11,0.852357654,
2018,1,9,12,0.867903758,
2018,1,9,13,0.869288804,
2018,1,9,14,0.514407788,
2018,1,9,15,0.171712385,
2018,1,9,16,0.182273681,
2018,1,9,17,0.323627559,
2018,1,9,18,0.394642466,
2018,1,9,19,0.400157504,
2018,1,9,20,0.390069556,
2018,1,9,21,0.350214767,
2018,1,9,22,0.462349411,
2018,1,9,23,0.722678249,
2018,1,9,24,0.899670362,
2018,1,10,1,0.961948061,
2018,1,10,2,0.985294839,
2018,1,10,3,0.995851739,
2018,1,10,4,0.988523213,
2018,1,10,5,0.975627299,
2018,1,10,6,0.946879358,
2018,1,10,7,0.929090194,
2018,1,10,8,0.902477616,
2018,1,10,9,0.879963706,
2018,1,10,10,0.85294198,
2018,1,10,11,0.812082575,
2018,1,10,12,0.777235933,
2018,1,10,13,0.750468237,
2018,1,10,14,0.568814215,
2018,1,10,15,0.449515748,
2018,1,10,16,0.572102305,
2018,1,10,17,0.702269007,
2018,1,10,18,0.800081143,
2018,1,10,19,0.8682373,
2018,1,10,20,0.90581373,
2018,1,10,21,0.931503408,
2018,1,10,22,0.962748123,
2018,1,10,23,0.998756396,
2018,1,10,24,0.993555095,
2018,1,11,1,0.989053465,
2018,1,11,2,0.985199736,
2018,1,11,3,0.985678621,
2018,1,11,4,0.99429345,
2018,1,11,5,0.992973153,
2018,1,11,6,0.975724988,
2018,1,11,7,0.981195796,
2018,1,11,8,1,
2018,1,11,9,1,
2018,1,11,10,1,
2018,1,11,11,0.997112354,
2018,1,11,12,0.995253256,
2018,1,11,13,0.998734386,
2018,1,11,14,0.982846296,
2018,1,11,15,1,
2018,1,11,16,1,
2018,1,11,17,1,
2018,1,11,18,1,
2018,1,11,19,1,
2018,1,11,20,1,
2018,1,11,21,0.989886753,
2018,1,11,22,0.968789831,
2018,1,11,23,0.929270288,
2018,1,11,24,0.893358358,
2018,1,12,1,0.806099989,
2018,1,12,2,0.709165408,
2018,1,12,3,0.623746493,
2018,1,12,4,0.538461065,
2018,1,12,5,0.440538913,
2018,1,12,6,0.347698612,
2018,1,12,7,0.26738917,
2018,1,12,8,0.209343251,
2018,1,12,9,0.176360023,
2018,1,12,10,0.159573525,
2018,1,12,11,0.149723233,
2018,1,12,12,0.135654722,
2018,1,12,13,0.132021432,
2018,1,12,14,0.071411046,
2018,1,12,15,0.074562566,
2018,1,12,16,0.111803468,
2018,1,12,17,0.121052444,
2018,1,12,18,0.116869323,
2018,1,12,19,0.101044488,
2018,1,12,20,0.079122563,
2018,1,12,21,0.059735541,
2018,1,12,22,0.065488756,
2018,1,12,23,0.260081713,
2018,1,12,24,0.46759762,
2018,1,13,1,0.55054872,
2018,1,13,2,0.606506608,
2018,1,13,3,0.592076768,
2018,1,13,4,0.508251663,
2018,1,13,5,0.409974507,
2018,1,13,6,0.333180143,
2018,1,13,7,0.287601458,
2018,1,13,8,0.256633125,
2018,1,13,9,0.218298973,
2018,1,13,10,0.191616249,
2018,1,13,11,0.174091339,
2018,1,13,12,0.15042509,
2018,1,13,13,0.125064125,
2018,1,13,14,0.038835513,
2018,1,13,15,0.025059653,
2018,1,13,16,0.015218438,
2018,1,13,17,0.011405936,
2018,1,13,18,0.018878569,
2018,1,13,19,0.039568062,
2018,1,13,20,0.065179441,
2018,1,13,21,0.086824567,
2018,1,13,22,0.114835003,
2018,1,13,23,0.324384241,
2018,1,13,24,0.520667137,
2018,1,14,1,0.691133328,
2018,1,14,2,0.835266564,
2018,1,14,3,0.865331617,
2018,1,14,4,0.797086878,
2018,1,14,5,0.691630284,
2018,1,14,6,0.611147621,
2018,1,14,7,0.559307624,
2018,1,14,8,0.509342098,
2018,1,14,9,0.450101868,
2018,1,14,10,0.390062834,
2018,1,14,11,0.340351199,
2018,1,14,12,0.305934477,
2018,1,14,13,0.279883338,
2018,1,14,14,0.126597606,
2018,1,14,15,0.075680386,
2018,1,14,16,0.131649794,
2018,1,14,17,0.118838258,
2018,1,14,18,0.094666148,
2018,1,14,19,0.067251077,
2018,1,14,20,0.041414783,
2018,1,14,21,0.021010626,
2018,1,14,22,0.01459414,
2018,1,14,23,0.032477471,
2018,1,14,24,0.071706054,
2018,1,15,1,0.169270025,
2018,1,15,2,0.332818748,
2018,1,15,3,0.505014487,
2018,1,15,4,0.663480219,
2018,1,15,5,0.797465135,
2018,1,15,6,0.919495472,
2018,1,15,7,0.976907296,
2018,1,15,8,0.981622033,
2018,1,15,9,0.966501447,
2018,1,15,10,0.916436878,
2018,1,15,11,0.805609359,
2018,1,15,12,0.68762863,
2018,1,15,13,0.56381636,
2018,1,15,14,0.354684091,
2018,1,15,15,0.353443549,
2018,1,15,16,0.469693278,
2018,1,15,17,0.537597036,
2018,1,15,18,0.563554382,
2018,1,15,19,0.599444256,
2018,1,15,20,0.652875348,
2018,1,15,21,0.738071064,
2018,1,15,22,0.813978322,
2018,1,15,23,0.880902294,
2018,1,15,24,0.883377561,
2018,1,16,1,0.896369497,
2018,1,16,2,0.861640761,
2018,1,16,3,0.812212968,
2018,1,16,4,0.763100071,
2018,1,16,5,0.741396143,
2018,1,16,6,0.717677982,
2018,1,16,7,0.677955187,
2018,1,16,8,0.620921299,
2018,1,16,9,0.587743934,
2018,1,16,10,0.555864432,
2018,1,16,11,0.515767952,
2018,1,16,12,0.472893867,
2018,1,16,13,0.42094997,
2018,1,16,14,0.375922072,
2018,1,16,15,0.330465089,
2018,1,16,16,0.27431438,
2018,1,16,17,0.221202295,
2018,1,16,18,0.180233283,
2018,1,16,19,0.153341788,
2018,1,16,20,0.136431559,
2018,1,16,21,0.120398058,
2018,1,16,22,0.103684188,
2018,1,16,23,0.126510216,
2018,1,16,24,0.165426998,
2018,1,17,1,0.161521929,
2018,1,17,2,0.143597138,
2018,1,17,3,0.123874615,
2018,1,17,4,0.101773666,
2018,1,17,5,0.080916054,
2018,1,17,6,0.068765388,
2018,1,17,7,0.062509176,
2018,1,17,8,0.059947737,
2018,1,17,9,0.055768174,
2018,1,17,10,0.055290432,
2018,1,17,11,0.056747193,
2018,1,17,12,0.062333481,
2018,1,17,13,0.072877774,
2018,1,17,14,0.063701714,
2018,1,17,15,0.092743654,
2018,1,17,16,0.134615699,
2018,1,17,17,0.173467973,
2018,1,17,18,0.197605357,
2018,1,17,19,0.196781235,
2018,1,17,20,0.177495958,
2018,1,17,21,0.153648962,
2018,1,17,22,0.179113227,
2018,1,17,23,0.435547779,
2018,1,17,24,0.684648051,
2018,1,18,1,0.826510513,
2018,1,18,2,0.775138837,
2018,1,18,3,0.639102423,
2018,1,18,4,0.528571892,
2018,1,18,5,0.450219235,
2018,1,18,6,0.387242302,
2018,1,18,7,0.344874565,
2018,1,18,8,0.309238873,
2018,1,18,9,0.277753066,
2018,1,18,10,0.251684561,
2018,1,18,11,0.236653391,
2018,1,18,12,0.230241757,
2018,1,18,13,0.229699047,
2018,1,18,14,0.133042166,
2018,1,18,15,0.132279224,
2018,1,18,16,0.181293562,
2018,1,18,17,0.210420374,
2018,1,18,18,0.234208132,
2018,1,18,19,0.239819586,
2018,1,18,20,0.228938734,
2018,1,18,21,0.22487269,
2018,1,18,22,0.354628403,
2018,1,18,23,0.619121904,
2018,1,18,24,0.842368203,
2018,1,19,1,0.969177491,
2018,1,19,2,0.984721921,
2018,1,19,3,0.974467731,
2018,1,19,4,0.959728162,
2018,1,19,5,0.93891834,
2018,1,19,6,0.915176979,
2018,1,19,7,0.875831132,
2018,1,19,8,0.830956307,
2018,1,19,9,0.77790431,
2018,1,19,10,0.724662962,
2018,1,19,11,0.663570532,
2018,1,19,12,0.610141984,
2018,1,19,13,0.575775798,
2018,1,19,14,0.362717163,
2018,1,19,15,0.192030708,
2018,1,19,16,0.202699152,
2018,1,19,17,0.263506514,
2018,1,19,18,0.40022215,
2018,1,19,19,0.548189178,
2018,1,19,20,0.652806021,
2018,1,19,21,0.694987272,
2018,1,19,22,0.799662521,
2018,1,19,23,0.940989311,
2018,1,19,24,0.97785448,
2018,1,20,1,0.985384093,
2018,1,20,2,0.996136168,
