Capacity data calculated from MERRA-2,,,,,0.203293646
,,,,,
BEGIN_DATA,,,,,
year,month,day,hour,s_cfs,
2018,1,1,1,0,
2018,1,1,2,0,
2018,1,1,3,0,
2018,1,1,4,0,
2018,1,1,5,0,
2018,1,1,6,0,
2018,1,1,7,0,
2018,1,1,8,0,
2018,1,1,9,0,
2018,1,1,10,0,
2018,1,1,11,0,
2018,1,1,12,0.009013142,
2018,1,1,13,0.443679611,
2018,1,1,14,0.614819681,
2018,1,1,15,0.54483882,
2018,1,1,16,0.47361891,
2018,1,1,17,0.489123017,
2018,1,1,18,0.539674752,
2018,1,1,19,0.483359072,
2018,1,1,20,0.153800975,
2018,1,1,21,0,
2018,1,1,22,0,
2018,1,1,23,0,
2018,1,1,24,0,
2018,1,2,1,0,
2018,1,2,2,0,
2018,1,2,3,0,
2018,1,2,4,0,
2018,1,2,5,0,
2018,1,2,6,0,
2018,1,2,7,0,
2018,1,2,8,0,
2018,1,2,9,0,
2018,1,2,10,0,
2018,1,2,11,0,
2018,1,2,12,0.021494231,
2018,1,2,13,0.408646261,
2018,1,2,14,0.604333476,
2018,1,2,15,0.543805645,
2018,1,2,16,0.475251797,
2018,1,2,17,0.496743286,
2018,1,2,18,0.509999526,
2018,1,2,19,0.370013175,
2018,1,2,20,0.133778214,
2018,1,2,21,0,
2018,1,2,22,0,
2018,1,2,23,0,
2018,1,2,24,0,
2018,1,3,1,0,
2018,1,3,2,0,
2018,1,3,3,0,
2018,1,3,4,0,
2018,1,3,5,0,
2018,1,3,6,0,
2018,1,3,7,0,
2018,1,3,8,0,
2018,1,3,9,0,
2018,1,3,10,0,
2018,1,3,11,0,
2018,1,3,12,0.008815986,
2018,1,3,13,0.283947454,
2018,1,3,14,0.427434551,
2018,1,3,15,0.425295058,
2018,1,3,16,0.392648928,
2018,1,3,17,0.399735562,
2018,1,3,18,0.406500929,
2018,1,3,19,0.371238533,
2018,1,3,20,0.13553163,
2018,1,3,21,0,
2018,1,3,22,0,
2018,1,3,23,0,
2018,1,3,24,0,
2018,1,4,1,0,
2018,1,4,2,0,
2018,1,4,3,0,
2018,1,4,4,0,
2018,1,4,5,0,
2018,1,4,6,0,
2018,1,4,7,0,
2018,1,4,8,0,
2018,1,4,9,0,
2018,1,4,10,0,
2018,1,4,11,0,
2018,1,4,12,1.13E-05,
2018,1,4,13,0.014676173,
2018,1,4,14,0.036245045,
2018,1,4,15,0.061763817,
2018,1,4,16,0.089764966,
2018,1,4,17,0.088565793,
2018,1,4,18,0.076438032,
2018,1,4,19,0.052038397,
2018,1,4,20,0.023854255,
2018,1,4,21,0,
2018,1,4,22,0,
2018,1,4,23,0,
2018,1,4,24,0,
2018,1,5,1,0,
2018,1,5,2,0,
2018,1,5,3,0,
2018,1,5,4,0,
2018,1,5,5,0,
2018,1,5,6,0,
2018,1,5,7,0,
2018,1,5,8,0,
2018,1,5,9,0,
2018,1,5,10,0,
2018,1,5,11,0,
2018,1,5,12,0.009343245,
2018,1,5,13,0.156376536,
2018,1,5,14,0.241820791,
2018,1,5,15,0.25461726,
2018,1,5,16,0.251880977,
2018,1,5,17,0.221867769,
2018,1,5,18,0.153525135,
2018,1,5,19,0.090056108,
2018,1,5,20,0.024700327,
2018,1,5,21,0,
2018,1,5,22,0,
2018,1,5,23,0,
2018,1,5,24,0,
2018,1,6,1,0,
2018,1,6,2,0,
2018,1,6,3,0,
2018,1,6,4,0,
2018,1,6,5,0,
2018,1,6,6,0,
2018,1,6,7,0,
2018,1,6,8,0,
2018,1,6,9,0,
2018,1,6,10,0,
2018,1,6,11,0,
2018,1,6,12,0.010834301,
2018,1,6,13,0.163011993,
2018,1,6,14,0.214974079,
2018,1,6,15,0.245181105,
2018,1,6,16,0.268927711,
2018,1,6,17,0.256252814,
2018,1,6,18,0.222525818,
2018,1,6,19,0.159935826,
2018,1,6,20,0.067888796,
2018,1,6,21,0,
2018,1,6,22,0,
2018,1,6,23,0,
2018,1,6,24,0,
2018,1,7,1,0,
2018,1,7,2,0,
2018,1,7,3,0,
2018,1,7,4,0,
2018,1,7,5,0,
2018,1,7,6,0,
2018,1,7,7,0,
2018,1,7,8,0,
2018,1,7,9,0,
2018,1,7,10,0,
2018,1,7,11,0,
2018,1,7,12,0.014623334,
2018,1,7,13,0.513210954,
2018,1,7,14,0.640149338,
2018,1,7,15,0.539406772,
2018,1,7,16,0.437872369,
2018,1,7,17,0.41848548,
2018,1,7,18,0.445604341,
2018,1,7,19,0.439501553,
2018,1,7,20,0.17307273,
2018,1,7,21,1.73E-05,
2018,1,7,22,0,
2018,1,7,23,0,
2018,1,7,24,0,
2018,1,8,1,0,
2018,1,8,2,0,
2018,1,8,3,0,
2018,1,8,4,0,
2018,1,8,5,0,
2018,1,8,6,0,
2018,1,8,7,0,
2018,1,8,8,0,
2018,1,8,9,0,
2018,1,8,10,0,
2018,1,8,11,0,
2018,1,8,12,0.009338514,
2018,1,8,13,0.102889463,
2018,1,8,14,0.140496521,
2018,1,8,15,0.1733739,
2018,1,8,16,0.216577443,
2018,1,8,17,0.230159401,
2018,1,8,18,0.187221871,
2018,1,8,19,0.099171161,
2018,1,8,20,0.022282074,
2018,1,8,21,0,
2018,1,8,22,0,
2018,1,8,23,0,
2018,1,8,24,0,
2018,1,9,1,0,
2018,1,9,2,0,
2018,1,9,3,0,
2018,1,9,4,0,
2018,1,9,5,0,
2018,1,9,6,0,
2018,1,9,7,0,
2018,1,9,8,0,
2018,1,9,9,0,
2018,1,9,10,0,
2018,1,9,11,0,
2018,1,9,12,0.031191938,
2018,1,9,13,0.244878214,
2018,1,9,14,0.326821469,
2018,1,9,15,0.371002472,
2018,1,9,16,0.375053256,
2018,1,9,17,0.398111811,
2018,1,9,18,0.420208556,
2018,1,9,19,0.367827217,
2018,1,9,20,0.186687172,
2018,1,9,21,3.52E-05,
2018,1,9,22,0,
2018,1,9,23,0,
2018,1,9,24,0,
2018,1,10,1,0,
2018,1,10,2,0,
2018,1,10,3,0,
2018,1,10,4,0,
2018,1,10,5,0,
2018,1,10,6,0,
2018,1,10,7,0,
2018,1,10,8,0,
2018,1,10,9,0,
2018,1,10,10,0,
2018,1,10,11,0,
2018,1,10,12,0.017323924,
2018,1,10,13,0.517508031,
2018,1,10,14,0.596636991,
2018,1,10,15,0.526987082,
2018,1,10,16,0.461152122,
2018,1,10,17,0.480535811,
2018,1,10,18,0.470845891,
2018,1,10,19,0.398372977,
2018,1,10,20,0.213212094,
2018,1,10,21,5.95E-05,
2018,1,10,22,0,
2018,1,10,23,0,
2018,1,10,24,0,
2018,1,11,1,0,
2018,1,11,2,0,
2018,1,11,3,0,
2018,1,11,4,0,
2018,1,11,5,0,
2018,1,11,6,0,
2018,1,11,7,0,
2018,1,11,8,0,
2018,1,11,9,0,
2018,1,11,10,0,
2018,1,11,11,0,
2018,1,11,12,0.013252153,
2018,1,11,13,0.172423444,
2018,1,11,14,0.246434107,
2018,1,11,15,0.25789227,
2018,1,11,16,0.267353062,
2018,1,11,17,0.227021334,
2018,1,11,18,0.180765899,
2018,1,11,19,0.118953423,
2018,1,11,20,0.039740885,
2018,1,11,21,0,
2018,1,11,22,0,
2018,1,11,23,0,
2018,1,11,24,0,
2018,1,12,1,0,
2018,1,12,2,0,
2018,1,12,3,0,
2018,1,12,4,0,
2018,1,12,5,0,
2018,1,12,6,0,
2018,1,12,7,0,
2018,1,12,8,0,
2018,1,12,9,0,
2018,1,12,10,0,
2018,1,12,11,0,
2018,1,12,12,0.008522796,
2018,1,12,13,0.052427504,
2018,1,12,14,0.095413678,
2018,1,12,15,0.121969426,
2018,1,12,16,0.148997194,
2018,1,12,17,0.145748873,
2018,1,12,18,0.086761405,
2018,1,12,19,0.040370519,
2018,1,12,20,0.005534717,
2018,1,12,21,0,
2018,1,12,22,0,
2018,1,12,23,0,
2018,1,12,24,0,
2018,1,13,1,0,
2018,1,13,2,0,
2018,1,13,3,0,
2018,1,13,4,0,
2018,1,13,5,0,
2018,1,13,6,0,
2018,1,13,7,0,
2018,1,13,8,0,
2018,1,13,9,0,
2018,1,13,10,0,
2018,1,13,11,0,
2018,1,13,12,0.000404191,
2018,1,13,13,0.026276463,
2018,1,13,14,0.097737944,
2018,1,13,15,0.129281133,
2018,1,13,16,0.13760731,
2018,1,13,17,0.196070054,
2018,1,13,18,0.276102587,
2018,1,13,19,0.313880808,
2018,1,13,20,0.168841477,
2018,1,13,21,2.85E-05,
2018,1,13,22,0,
2018,1,13,23,0,
2018,1,13,24,0,
2018,1,14,1,0,
2018,1,14,2,0,
2018,1,14,3,0,
2018,1,14,4,0,
2018,1,14,5,0,
2018,1,14,6,0,
2018,1,14,7,0,
2018,1,14,8,0,
2018,1,14,9,0,
2018,1,14,10,0,
2018,1,14,11,0,
2018,1,14,12,0.037728046,
2018,1,14,13,0.492488733,
2018,1,14,14,0.604189001,
2018,1,14,15,0.533261017,
2018,1,14,16,0.492072483,
2018,1,14,17,0.527951309,
2018,1,14,18,0.612695647,
2018,1,14,19,0.59072398,
2018,1,14,20,0.216224551,
2018,1,14,21,6.30E-05,
2018,1,14,22,0,
2018,1,14,23,0,
2018,1,14,24,0,
2018,1,15,1,0,
2018,1,15,2,0,
2018,1,15,3,0,
2018,1,15,4,0,
2018,1,15,5,0,
2018,1,15,6,0,
2018,1,15,7,0,
2018,1,15,8,0,
2018,1,15,9,0,
2018,1,15,10,0,
2018,1,15,11,0,
2018,1,15,12,0.042011134,
2018,1,15,13,0.355124827,
2018,1,15,14,0.429727533,
2018,1,15,15,0.448572003,
2018,1,15,16,0.4061132,
2018,1,15,17,0.398968431,
2018,1,15,18,0.367679073,
2018,1,15,19,0.302856096,
2018,1,15,20,0.15709175,
2018,1,15,21,5.73E-05,
2018,1,15,22,0,
2018,1,15,23,0,
2018,1,15,24,0,
2018,1,16,1,0,
2018,1,16,2,0,
2018,1,16,3,0,
2018,1,16,4,0,
2018,1,16,5,0,
2018,1,16,6,0,
2018,1,16,7,0,
2018,1,16,8,0,
2018,1,16,9,0,
2018,1,16,10,0,
2018,1,16,11,0,
2018,1,16,12,0.038486842,
2018,1,16,13,0.317331493,
2018,1,16,14,0.43514734,
2018,1,16,15,0.443003212,
2018,1,16,16,0.425312653,
2018,1,16,17,0.422492808,
2018,1,16,18,0.404678819,
2018,1,16,19,0.347283509,
2018,1,16,20,0.132737621,
2018,1,16,21,3.15E-05,
2018,1,16,22,0,
2018,1,16,23,0,
2018,1,16,24,0,
2018,1,17,1,0,
2018,1,17,2,0,
2018,1,17,3,0,
2018,1,17,4,0,
2018,1,17,5,0,
2018,1,17,6,0,
2018,1,17,7,0,
2018,1,17,8,0,
2018,1,17,9,0,
2018,1,17,10,0,
2018,1,17,11,0,
2018,1,17,12,0.000292862,
2018,1,17,13,0.015767495,
2018,1,17,14,0.038586722,
2018,1,17,15,0.057277369,
2018,1,17,16,0.072879604,
2018,1,17,17,0.065300628,
2018,1,17,18,0.04580324,
2018,1,17,19,0.023887611,
2018,1,17,20,0.004114317,
2018,1,17,21,0,
2018,1,17,22,0,
2018,1,17,23,0,
2018,1,17,24,0,
2018,1,18,1,0,
2018,1,18,2,0,
2018,1,18,3,0,
2018,1,18,4,0,
2018,1,18,5,0,
2018,1,18,6,0,
2018,1,18,7,0,
2018,1,18,8,0,
2018,1,18,9,0,
2018,1,18,10,0,
2018,1,18,11,0,
2018,1,18,12,0.053200479,
2018,1,18,13,0.469134438,
2018,1,18,14,0.553288029,
2018,1,18,15,0.526059246,
2018,1,18,16,0.485481413,
2018,1,18,17,0.515282347,
2018,1,18,18,0.576811161,
2018,1,18,19,0.51942378,
2018,1,18,20,0.252355665,
2018,1,18,21,0.000189059,
2018,1,18,22,0,
2018,1,18,23,0,
2018,1,18,24,0,
2018,1,19,1,0,
2018,1,19,2,0,
2018,1,19,3,0,
2018,1,19,4,0,
2018,1,19,5,0,
2018,1,19,6,0,
2018,1,19,7,0,
2018,1,19,8,0,
2018,1,19,9,0,
2018,1,19,10,0,
2018,1,19,11,0,
2018,1,19,12,0.026103572,
2018,1,19,13,0.249489833,
2018,1,19,14,0.44030808,
2018,1,19,15,0.457548377,
2018,1,19,16,0.407913922,
2018,1,19,17,0.335300289,
2018,1,19,18,0.278028864,
2018,1,19,19,0.190616013,
2018,1,19,20,0.110192875,
2018,1,19,21,0.000109009,
2018,1,19,22,0,
2018,1,19,23,0,
2018,1,19,24,0,
2018,1,20,1,0,
2018,1,20,2,0,
2018,1,20,3,0,
2018,1,20,4,0,
2018,1,20,5,0,
2018,1,20,6,0,
2018,1,20,7,0,
2018,1,20,8,0,
2018,1,20,9,0,
2018,1,20,10,0,
2018,1,20,11,0,
2018,1,20,12,0.023611843,
2018,1,20,13,0.192071838,
2018,1,20,14,0.265201599,
2018,1,20,15,0.313492301,
2018,1,20,16,0.342087824,
2018,1,20,17,0.379904079,
2018,1,20,18,0.446511863,
2018,1,20,19,0.417688683,
2018,1,20,20,0.209681244,
2018,1,20,21,0.000161938,
2018,1,20,22,0,
2018,1,20,23,0,
2018,1,20,24,0,
2018,1,21,1,0,
2018,1,21,2,0,
2018,1,21,3,0,
2018,1,21,4,0,
2018,1,21,5,0,
2018,1,21,6,0,
2018,1,21,7,0,
2018,1,21,8,0,
2018,1,21,9,0,
2018,1,21,10,0,
2018,1,21,11,0,
2018,1,21,12,0.07247349,
2018,1,21,13,0.372516967,
2018,1,21,14,0.4327558,
2018,1,21,15,0.367959819,
2018,1,21,16,0.336155422,
2018,1,21,17,0.324158297,
2018,1,21,18,0.331527244,
2018,1,21,19,0.308669373,
2018,1,21,20,0.201009927,
2018,1,21,21,0.000273435,
2018,1,21,22,0,
2018,1,21,23,0,
2018,1,21,24,0,
2018,1,22,1,0,
2018,1,22,2,0,
2018,1,22,3,0,
2018,1,22,4,0,
2018,1,22,5,0,
2018,1,22,6,0,
2018,1,22,7,0,
2018,1,22,8,0,
2018,1,22,9,0,
2018,1,22,10,0,
2018,1,22,11,0,
2018,1,22,12,0.015383703,
2018,1,22,13,0.068032959,
2018,1,22,14,0.125538593,
2018,1,22,15,0.164712674,
2018,1,22,16,0.185996445,
2018,1,22,17,0.175348057,
2018,1,22,18,0.1572934,
2018,1,22,19,0.110293236,
2018,1,22,20,0.038161345,
2018,1,22,21,0,
2018,1,22,22,0,
2018,1,22,23,0,
2018,1,22,24,0,
2018,1,23,1,0,
2018,1,23,2,0,
2018,1,23,3,0,
2018,1,23,4,0,
2018,1,23,5,0,
2018,1,23,6,0,
2018,1,23,7,0,
2018,1,23,8,0,
2018,1,23,9,0,
