Capacity data calculated from MERRA-2,,,,,0.231978293
,,,,,
BEGIN_DATA,,,,,
year,month,day,hour,w_cfs,
2018,1,1,1,0.378585246,
2018,1,1,2,0.349526209,
2018,1,1,3,0.322175303,
2018,1,1,4,0.309453978,
2018,1,1,5,0.298894579,
2018,1,1,6,0.28314419,
2018,1,1,7,0.269256635,
2018,1,1,8,0.246667613,
2018,1,1,9,0.228714698,
2018,1,1,10,0.214875382,
2018,1,1,11,0.200405732,
2018,1,1,12,0.191387152,
2018,1,1,13,0.173867851,
2018,1,1,14,0.168956054,
2018,1,1,15,0.16186524,
2018,1,1,16,0.171946444,
2018,1,1,17,0.177591435,
2018,1,1,18,0.189613556,
2018,1,1,19,0.201065824,
2018,1,1,20,0.218595694,
2018,1,1,21,0.247745013,
2018,1,1,22,0.257075073,
2018,1,1,23,0.242628562,
2018,1,1,24,0.222902078,
2018,1,2,1,0.196871181,
2018,1,2,2,0.173256106,
2018,1,2,3,0.166246958,
2018,1,2,4,0.159556791,
2018,1,2,5,0.159360339,
2018,1,2,6,0.162598849,
2018,1,2,7,0.17407052,
2018,1,2,8,0.197670499,
2018,1,2,9,0.220257822,
2018,1,2,10,0.221146945,
2018,1,2,11,0.213575254,
2018,1,2,12,0.213004022,
2018,1,2,13,0.169269032,
2018,1,2,14,0.158083197,
2018,1,2,15,0.147095334,
2018,1,2,16,0.145394495,
2018,1,2,17,0.150805411,
2018,1,2,18,0.141193034,
2018,1,2,19,0.124077926,
2018,1,2,20,0.126953181,
2018,1,2,21,0.155375849,
2018,1,2,22,0.202631875,
2018,1,2,23,0.195427607,
2018,1,2,24,0.190926606,
2018,1,3,1,0.232100225,
2018,1,3,2,0.22420961,
2018,1,3,3,0.243303138,
2018,1,3,4,0.243387119,
2018,1,3,5,0.213407781,
2018,1,3,6,0.200363505,
2018,1,3,7,0.20796002,
2018,1,3,8,0.172468311,
2018,1,3,9,0.152056038,
2018,1,3,10,0.12922773,
2018,1,3,11,0.110008931,
2018,1,3,12,0.090152483,
2018,1,3,13,0.077362623,
2018,1,3,14,0.027215146,
2018,1,3,15,0.022571845,
2018,1,3,16,0.029909313,
2018,1,3,17,0.032094957,
2018,1,3,18,0.032544425,
2018,1,3,19,0.049971729,
2018,1,3,20,0.102117773,
2018,1,3,21,0.16644156,
2018,1,3,22,0.200250047,
2018,1,3,23,0.147828748,
2018,1,3,24,0.11747069,
2018,1,4,1,0.114393983,
2018,1,4,2,0.088275017,
2018,1,4,3,0.096847604,
2018,1,4,4,0.104500227,
2018,1,4,5,0.113901906,
2018,1,4,6,0.07994227,
2018,1,4,7,0.067789091,
2018,1,4,8,0.083551327,
2018,1,4,9,0.098635875,
2018,1,4,10,0.150120354,
2018,1,4,11,0.206980822,
2018,1,4,12,0.236220863,
2018,1,4,13,0.200765426,
2018,1,4,14,0.202157492,
2018,1,4,15,0.220862964,
2018,1,4,16,0.284730103,
2018,1,4,17,0.339009975,
2018,1,4,18,0.395936618,
2018,1,4,19,0.530155896,
2018,1,4,20,0.708020212,
2018,1,4,21,0.871184308,
2018,1,4,22,0.916825555,
2018,1,4,23,0.965732765,
2018,1,4,24,0.978383864,
2018,1,5,1,0.980844912,
2018,1,5,2,0.967496543,
2018,1,5,3,0.95754425,
2018,1,5,4,0.965223054,
2018,1,5,5,0.996932485,
2018,1,5,6,0.994102168,
2018,1,5,7,1,
2018,1,5,8,1,
2018,1,5,9,1,
2018,1,5,10,1,
2018,1,5,11,1,
2018,1,5,12,0.980225505,
2018,1,5,13,0.943205178,
2018,1,5,14,0.926205079,
2018,1,5,15,0.915667114,
2018,1,5,16,0.911663157,
2018,1,5,17,0.911050239,
2018,1,5,18,0.908044177,
2018,1,5,19,0.90743041,
2018,1,5,20,0.906383394,
2018,1,5,21,0.904031624,
2018,1,5,22,0.898520987,
2018,1,5,23,0.891123852,
2018,1,5,24,0.887399913,
2018,1,6,1,0.896435471,
2018,1,6,2,0.907467966,
2018,1,6,3,0.918942441,
2018,1,6,4,0.928304232,
2018,1,6,5,0.938361662,
2018,1,6,6,0.947264097,
2018,1,6,7,0.954027668,
2018,1,6,8,0.960713891,
2018,1,6,9,0.971361303,
2018,1,6,10,0.971479104,
2018,1,6,11,0.960388502,
2018,1,6,12,0.948347406,
2018,1,6,13,0.947481999,
2018,1,6,14,0.939865838,
2018,1,6,15,0.929985037,
2018,1,6,16,0.927194037,
2018,1,6,17,0.924609209,
2018,1,6,18,0.919159519,
2018,1,6,19,0.90688587,
2018,1,6,20,0.899040588,
2018,1,6,21,0.899741076,
2018,1,6,22,0.922560988,
2018,1,6,23,0.921853645,
2018,1,6,24,0.897748399,
2018,1,7,1,0.855708687,
2018,1,7,2,0.797352877,
2018,1,7,3,0.745005467,
2018,1,7,4,0.702492428,
2018,1,7,5,0.674417267,
2018,1,7,6,0.647162666,
2018,1,7,7,0.604056542,
2018,1,7,8,0.555230173,
2018,1,7,9,0.485398936,
2018,1,7,10,0.421416633,
2018,1,7,11,0.365806367,
2018,1,7,12,0.304864097,
2018,1,7,13,0.254593959,
2018,1,7,14,0.235205343,
2018,1,7,15,0.22645807,
2018,1,7,16,0.214925469,
2018,1,7,17,0.203365103,
2018,1,7,18,0.170997016,
2018,1,7,19,0.136637491,
2018,1,7,20,0.13069267,
2018,1,7,21,0.131569801,
2018,1,7,22,0.142603493,
2018,1,7,23,0.144782295,
2018,1,7,24,0.158778205,
2018,1,8,1,0.169105124,
2018,1,8,2,0.173380413,
2018,1,8,3,0.183479398,
2018,1,8,4,0.18864998,
2018,1,8,5,0.173637765,
2018,1,8,6,0.171917211,
2018,1,8,7,0.182557098,
2018,1,8,8,0.188871795,
2018,1,8,9,0.179723536,
2018,1,8,10,0.178333482,
2018,1,8,11,0.181369835,
2018,1,8,12,0.169375232,
2018,1,8,13,0.111200591,
2018,1,8,14,0.063932454,
2018,1,8,15,0.080326674,
2018,1,8,16,0.112922605,
2018,1,8,17,0.133787556,
2018,1,8,18,0.143050635,
2018,1,8,19,0.164988608,
2018,1,8,20,0.197528579,
2018,1,8,21,0.224806468,
2018,1,8,22,0.232449814,
2018,1,8,23,0.250656046,
2018,1,8,24,0.223059701,
2018,1,9,1,0.211906838,
2018,1,9,2,0.212528207,
2018,1,9,3,0.263948718,
2018,1,9,4,0.261441452,
2018,1,9,5,0.271010994,
2018,1,9,6,0.242080007,
2018,1,9,7,0.237183193,
2018,1,9,8,0.240468645,
2018,1,9,9,0.246416407,
2018,1,9,10,0.265965749,
2018,1,9,11,0.259055819,
2018,1,9,12,0.25941109,
2018,1,9,13,0.239966624,
2018,1,9,14,0.233955926,
2018,1,9,15,0.332981606,
2018,1,9,16,0.431559596,
2018,1,9,17,0.521604599,
2018,1,9,18,0.613272256,
2018,1,9,19,0.691572531,
2018,1,9,20,0.731162928,
2018,1,9,21,0.789349182,
2018,1,9,22,0.825723171,
2018,1,9,23,0.805585338,
2018,1,9,24,0.742326537,
2018,1,10,1,0.677181103,
2018,1,10,2,0.585087438,
2018,1,10,3,0.496170637,
2018,1,10,4,0.413105489,
2018,1,10,5,0.37056163,
2018,1,10,6,0.331424779,
2018,1,10,7,0.298292259,
2018,1,10,8,0.253975069,
2018,1,10,9,0.243220779,
2018,1,10,10,0.229054934,
2018,1,10,11,0.229199306,
2018,1,10,12,0.210218116,
2018,1,10,13,0.134378633,
2018,1,10,14,0.057539265,
2018,1,10,15,0.027891583,
2018,1,10,16,0.040426276,
2018,1,10,17,0.048167005,
2018,1,10,18,0.022995237,
2018,1,10,19,0.024372073,
2018,1,10,20,0.102738287,
2018,1,10,21,0.261640228,
2018,1,10,22,0.303647248,
2018,1,10,23,0.261587423,
2018,1,10,24,0.283384606,
2018,1,11,1,0.284680054,
2018,1,11,2,0.284669736,
2018,1,11,3,0.283136624,
2018,1,11,4,0.269931755,
2018,1,11,5,0.268792331,
2018,1,11,6,0.282623248,
2018,1,11,7,0.281113815,
2018,1,11,8,0.283296172,
2018,1,11,9,0.305879119,
2018,1,11,10,0.374712072,
2018,1,11,11,0.387981382,
2018,1,11,12,0.387605381,
2018,1,11,13,0.378450995,
2018,1,11,14,0.372925194,
2018,1,11,15,0.375903944,
2018,1,11,16,0.370101288,
2018,1,11,17,0.371618765,
2018,1,11,18,0.385205641,
2018,1,11,19,0.400483045,
2018,1,11,20,0.415410099,
2018,1,11,21,0.423567644,
2018,1,11,22,0.454889882,
2018,1,11,23,0.485644774,
2018,1,11,24,0.516043079,
2018,1,12,1,0.516955916,
2018,1,12,2,0.472634626,
2018,1,12,3,0.468241696,
2018,1,12,4,0.482435847,
2018,1,12,5,0.48150155,
2018,1,12,6,0.496454946,
2018,1,12,7,0.515924763,
2018,1,12,8,0.584902766,
2018,1,12,9,0.656383009,
2018,1,12,10,0.842240884,
2018,1,12,11,0.772464429,
2018,1,12,12,0.776795222,
2018,1,12,13,0.769044006,
2018,1,12,14,0.82249105,
2018,1,12,15,0.87077492,
2018,1,12,16,0.968830817,
2018,1,12,17,1,
2018,1,12,18,1,
2018,1,12,19,0.97776129,
2018,1,12,20,0.952541497,
2018,1,12,21,0.895597653,
2018,1,12,22,0.828182006,
2018,1,12,23,0.744781312,
2018,1,12,24,0.566776458,
2018,1,13,1,0.548974331,
2018,1,13,2,0.554981573,
2018,1,13,3,0.524391115,
2018,1,13,4,0.512125182,
2018,1,13,5,0.516479032,
2018,1,13,6,0.523028053,
2018,1,13,7,0.497816548,
2018,1,13,8,0.520610143,
2018,1,13,9,0.582995917,
2018,1,13,10,0.59953117,
2018,1,13,11,0.649023086,
2018,1,13,12,0.634945671,
2018,1,13,13,0.593896236,
2018,1,13,14,0.628875379,
2018,1,13,15,0.69714599,
2018,1,13,16,0.660973422,
2018,1,13,17,0.577377766,
2018,1,13,18,0.583006465,
2018,1,13,19,0.601688851,
2018,1,13,20,0.580362602,
2018,1,13,21,0.541153812,
2018,1,13,22,0.485811627,
2018,1,13,23,0.422265738,
2018,1,13,24,0.380704596,
2018,1,14,1,0.355773234,
2018,1,14,2,0.31763212,
2018,1,14,3,0.274867099,
2018,1,14,4,0.225964723,
2018,1,14,5,0.201148381,
2018,1,14,6,0.214442473,
2018,1,14,7,0.230216923,
2018,1,14,8,0.223242925,
2018,1,14,9,0.213091556,
2018,1,14,10,0.20216953,
2018,1,14,11,0.199702727,
2018,1,14,12,0.194516259,
2018,1,14,13,0.166142132,
2018,1,14,14,0.123647081,
2018,1,14,15,0.112892405,
2018,1,14,16,0.116396168,
2018,1,14,17,0.120853603,
2018,1,14,18,0.120725613,
2018,1,14,19,0.109629967,
2018,1,14,20,0.123355234,
2018,1,14,21,0.199160402,
2018,1,14,22,0.238247908,
2018,1,14,23,0.231675061,
2018,1,14,24,0.224220853,
2018,1,15,1,0.22242612,
2018,1,15,2,0.208501534,
2018,1,15,3,0.204736647,
2018,1,15,4,0.19248412,
2018,1,15,5,0.169062633,
2018,1,15,6,0.160402959,
2018,1,15,7,0.156180452,
2018,1,15,8,0.145331791,
2018,1,15,9,0.143525041,
2018,1,15,10,0.13410102,
2018,1,15,11,0.131292819,
2018,1,15,12,0.150180151,
2018,1,15,13,0.116088788,
2018,1,15,14,0.075465089,
2018,1,15,15,0.071031237,
2018,1,15,16,0.071029948,
2018,1,15,17,0.074010054,
2018,1,15,18,0.079147178,
2018,1,15,19,0.084905976,
2018,1,15,20,0.097019848,
2018,1,15,21,0.147783194,
2018,1,15,22,0.185436656,
2018,1,15,23,0.18915111,
2018,1,15,24,0.196494515,
2018,1,16,1,0.185703603,
2018,1,16,2,0.133904403,
2018,1,16,3,0.089318496,
2018,1,16,4,0.073136444,
2018,1,16,5,0.071613462,
2018,1,16,6,0.073997335,
2018,1,16,7,0.055602079,
2018,1,16,8,0.048708878,
2018,1,16,9,0.049237229,
2018,1,16,10,0.0459686,
2018,1,16,11,0.035806476,
2018,1,16,12,0.028613156,
2018,1,16,13,0.012936879,
2018,1,16,14,0.006695497,
2018,1,16,15,0.002867032,
2018,1,16,16,0.005594596,
2018,1,16,17,0.00549405,
2018,1,16,18,0.00529683,
2018,1,16,19,0.005465933,
2018,1,16,20,0.004365333,
2018,1,16,21,0.006253249,
2018,1,16,22,0.016340327,
2018,1,16,23,0.037548615,
2018,1,16,24,0.058371656,
2018,1,17,1,0.0796321,
2018,1,17,2,0.106344819,
2018,1,17,3,0.117337588,
2018,1,17,4,0.123746931,
2018,1,17,5,0.126459861,
2018,1,17,6,0.113299435,
2018,1,17,7,0.096934818,
2018,1,17,8,0.091364122,
2018,1,17,9,0.091696805,
2018,1,17,10,0.10147818,
2018,1,17,11,0.106827544,
2018,1,17,12,0.098566147,
2018,1,17,13,0.076164637,
2018,1,17,14,0.028028701,
2018,1,17,15,0.020354905,
2018,1,17,16,0.027667919,
2018,1,17,17,0.024967071,
2018,1,17,18,0.021043533,
2018,1,17,19,0.01816067,
2018,1,17,20,0.02850045,
2018,1,17,21,0.051571997,
2018,1,17,22,0.090321822,
2018,1,17,23,0.124586712,
2018,1,17,24,0.158491396,
2018,1,18,1,0.140183086,
2018,1,18,2,0.141803174,
2018,1,18,3,0.176239655,
2018,1,18,4,0.160086416,
2018,1,18,5,0.164981256,
2018,1,18,6,0.199468874,
2018,1,18,7,0.2073319,
2018,1,18,8,0.226063531,
2018,1,18,9,0.206138636,
2018,1,18,10,0.228104376,
2018,1,18,11,0.284664675,
2018,1,18,12,0.329683323,
2018,1,18,13,0.310280297,
2018,1,18,14,0.257728027,
2018,1,18,15,0.243366188,
2018,1,18,16,0.223390472,
2018,1,18,17,0.197750855,
2018,1,18,18,0.174579683,
2018,1,18,19,0.149099085,
2018,1,18,20,0.153853655,
2018,1,18,21,0.205343447,
2018,1,18,22,0.233743532,
2018,1,18,23,0.257885064,
2018,1,18,24,0.268869052,
2018,1,19,1,0.259619494,
2018,1,19,2,0.232455864,
2018,1,19,3,0.208739655,
2018,1,19,4,0.168009093,
2018,1,19,5,0.110372806,
2018,1,19,6,0.081261103,
2018,1,19,7,0.077681427,
2018,1,19,8,0.08535575,
2018,1,19,9,0.08438029,
2018,1,19,10,0.078289538,
2018,1,19,11,0.071765401,
2018,1,19,12,0.071133731,
2018,1,19,13,0.05594885,
2018,1,19,14,0.041749926,
2018,1,19,15,0.048971253,
2018,1,19,16,0.053204994,
2018,1,19,17,0.045633098,
2018,1,19,18,0.039856885,
2018,1,19,19,0.038668295,
2018,1,19,20,0.064726434,
2018,1,19,21,0.161934613,
2018,1,19,22,0.246187468,
2018,1,19,23,0.26994633,
2018,1,19,24,0.2370647,
2018,1,20,1,0.192567263,
