Capacity data calculated from MERRA-2,,,,,0.214713437
,,,,,
BEGIN_DATA,,,,,
year,month,day,hour,s_cfs,
2018,1,1,1,0,
2018,1,1,2,0,
2018,1,1,3,0,
2018,1,1,4,0,
2018,1,1,5,0,
2018,1,1,6,0,
2018,1,1,7,0,
2018,1,1,8,0,
2018,1,1,9,0,
2018,1,1,10,0,
2018,1,1,11,0,
2018,1,1,12,0,
2018,1,1,13,0.01709578,
2018,1,1,14,0.264335392,
2018,1,1,15,0.454864051,
2018,1,1,16,0.511876029,
2018,1,1,17,0.485344167,
2018,1,1,18,0.467626552,
2018,1,1,19,0.511131113,
2018,1,1,20,0.556780588,
2018,1,1,21,0.396195404,
2018,1,1,22,0.055768951,
2018,1,1,23,9.53E-06,
2018,1,1,24,0,
2018,1,2,1,0,
2018,1,2,2,0,
2018,1,2,3,0,
2018,1,2,4,0,
2018,1,2,5,0,
2018,1,2,6,0,
2018,1,2,7,0,
2018,1,2,8,0,
2018,1,2,9,0,
2018,1,2,10,0,
2018,1,2,11,0,
2018,1,2,12,0,
2018,1,2,13,0.014754852,
2018,1,2,14,0.241147667,
2018,1,2,15,0.389388935,
2018,1,2,16,0.436236566,
2018,1,2,17,0.421200044,
2018,1,2,18,0.413105253,
2018,1,2,19,0.425638166,
2018,1,2,20,0.404513539,
2018,1,2,21,0.257254881,
2018,1,2,22,0.038808933,
2018,1,2,23,2.58E-06,
2018,1,2,24,0,
2018,1,3,1,0,
2018,1,3,2,0,
2018,1,3,3,0,
2018,1,3,4,0,
2018,1,3,5,0,
2018,1,3,6,0,
2018,1,3,7,0,
2018,1,3,8,0,
2018,1,3,9,0,
2018,1,3,10,0,
2018,1,3,11,0,
2018,1,3,12,0,
2018,1,3,13,0.016664642,
2018,1,3,14,0.256997281,
2018,1,3,15,0.445123612,
2018,1,3,16,0.476503876,
2018,1,3,17,0.43663166,
2018,1,3,18,0.405603306,
2018,1,3,19,0.413116592,
2018,1,3,20,0.414330608,
2018,1,3,21,0.331981002,
2018,1,3,22,0.066189568,
2018,1,3,23,1.11E-05,
2018,1,3,24,0,
2018,1,4,1,0,
2018,1,4,2,0,
2018,1,4,3,0,
2018,1,4,4,0,
2018,1,4,5,0,
2018,1,4,6,0,
2018,1,4,7,0,
2018,1,4,8,0,
2018,1,4,9,0,
2018,1,4,10,0,
2018,1,4,11,0,
2018,1,4,12,0,
2018,1,4,13,0.020197478,
2018,1,4,14,0.269421674,
2018,1,4,15,0.427321189,
2018,1,4,16,0.455455626,
2018,1,4,17,0.427667664,
2018,1,4,18,0.41675239,
2018,1,4,19,0.434725176,
2018,1,4,20,0.43461057,
2018,1,4,21,0.320247699,
2018,1,4,22,0.06165552,
2018,1,4,23,0,
2018,1,4,24,0,
2018,1,5,1,0,
2018,1,5,2,0,
2018,1,5,3,0,
2018,1,5,4,0,
2018,1,5,5,0,
2018,1,5,6,0,
2018,1,5,7,0,
2018,1,5,8,0,
2018,1,5,9,0,
2018,1,5,10,0,
2018,1,5,11,0,
2018,1,5,12,0,
2018,1,5,13,0.020062102,
2018,1,5,14,0.256078833,
2018,1,5,15,0.426254481,
2018,1,5,16,0.473085902,
2018,1,5,17,0.449505282,
2018,1,5,18,0.437870552,
2018,1,5,19,0.463417653,
2018,1,5,20,0.472933457,
2018,1,5,21,0.341818917,
2018,1,5,22,0.063357123,
2018,1,5,23,1.33E-05,
2018,1,5,24,0,
2018,1,6,1,0,
2018,1,6,2,0,
2018,1,6,3,0,
2018,1,6,4,0,
2018,1,6,5,0,
2018,1,6,6,0,
2018,1,6,7,0,
2018,1,6,8,0,
2018,1,6,9,0,
2018,1,6,10,0,
2018,1,6,11,0,
2018,1,6,12,0,
2018,1,6,13,0.019258905,
2018,1,6,14,0.273209489,
2018,1,6,15,0.485038709,
2018,1,6,16,0.514572565,
2018,1,6,17,0.475621883,
2018,1,6,18,0.460931447,
2018,1,6,19,0.488234477,
2018,1,6,20,0.486054355,
2018,1,6,21,0.346137844,
2018,1,6,22,0.062703243,
2018,1,6,23,1.00E-05,
2018,1,6,24,0,
2018,1,7,1,0,
2018,1,7,2,0,
2018,1,7,3,0,
2018,1,7,4,0,
2018,1,7,5,0,
2018,1,7,6,0,
2018,1,7,7,0,
2018,1,7,8,0,
2018,1,7,9,0,
2018,1,7,10,0,
2018,1,7,11,0,
2018,1,7,12,0,
2018,1,7,13,0.009499478,
2018,1,7,14,0.065713258,
2018,1,7,15,0.142623536,
2018,1,7,16,0.198615678,
2018,1,7,17,0.222946296,
2018,1,7,18,0.21341561,
2018,1,7,19,0.18567439,
2018,1,7,20,0.151930868,
2018,1,7,21,0.09607668,
2018,1,7,22,0.013358967,
2018,1,7,23,0,
2018,1,7,24,0,
2018,1,8,1,0,
2018,1,8,2,0,
2018,1,8,3,0,
2018,1,8,4,0,
2018,1,8,5,0,
2018,1,8,6,0,
2018,1,8,7,0,
2018,1,8,8,0,
2018,1,8,9,0,
2018,1,8,10,0,
2018,1,8,11,0,
2018,1,8,12,0,
2018,1,8,13,0.003427261,
2018,1,8,14,0.118921835,
2018,1,8,15,0.290033599,
2018,1,8,16,0.370770167,
2018,1,8,17,0.365853029,
2018,1,8,18,0.362078749,
2018,1,8,19,0.389365715,
2018,1,8,20,0.384881819,
2018,1,8,21,0.265034513,
2018,1,8,22,0.038111842,
2018,1,8,23,1.47E-05,
2018,1,8,24,0,
2018,1,9,1,0,
2018,1,9,2,0,
2018,1,9,3,0,
2018,1,9,4,0,
2018,1,9,5,0,
2018,1,9,6,0,
2018,1,9,7,0,
2018,1,9,8,0,
2018,1,9,9,0,
2018,1,9,10,0,
2018,1,9,11,0,
2018,1,9,12,0,
2018,1,9,13,0.012763998,
2018,1,9,14,0.12467528,
2018,1,9,15,0.267021525,
2018,1,9,16,0.332194258,
2018,1,9,17,0.335494632,
2018,1,9,18,0.324094874,
2018,1,9,19,0.311648314,
2018,1,9,20,0.276916609,
2018,1,9,21,0.180514551,
2018,1,9,22,0.033162337,
2018,1,9,23,1.60E-05,
2018,1,9,24,0,
2018,1,10,1,0,
2018,1,10,2,0,
2018,1,10,3,0,
2018,1,10,4,0,
2018,1,10,5,0,
2018,1,10,6,0,
2018,1,10,7,0,
2018,1,10,8,0,
2018,1,10,9,0,
2018,1,10,10,0,
2018,1,10,11,0,
2018,1,10,12,0,
2018,1,10,13,0.023240074,
2018,1,10,14,0.077572553,
2018,1,10,15,0.13143095,
2018,1,10,16,0.176873397,
2018,1,10,17,0.205755124,
2018,1,10,18,0.213242628,
2018,1,10,19,0.195379086,
2018,1,10,20,0.163959304,
2018,1,10,21,0.099955412,
2018,1,10,22,0.036930696,
2018,1,10,23,4.24E-06,
2018,1,10,24,0,
2018,1,11,1,0,
2018,1,11,2,0,
2018,1,11,3,0,
2018,1,11,4,0,
2018,1,11,5,0,
2018,1,11,6,0,
2018,1,11,7,0,
2018,1,11,8,0,
2018,1,11,9,0,
2018,1,11,10,0,
2018,1,11,11,0,
2018,1,11,12,0,
2018,1,11,13,0.016080718,
2018,1,11,14,0.065927674,
2018,1,11,15,0.144755217,
2018,1,11,16,0.207493816,
2018,1,11,17,0.24165288,
2018,1,11,18,0.25020918,
2018,1,11,19,0.245609199,
2018,1,11,20,0.235967742,
2018,1,11,21,0.179984846,
2018,1,11,22,0.041951346,
2018,1,11,23,1.07E-05,
2018,1,11,24,0,
2018,1,12,1,0,
2018,1,12,2,0,
2018,1,12,3,0,
2018,1,12,4,0,
2018,1,12,5,0,
2018,1,12,6,0,
2018,1,12,7,0,
2018,1,12,8,0,
2018,1,12,9,0,
2018,1,12,10,0,
2018,1,12,11,0,
2018,1,12,12,0,
2018,1,12,13,0.013545026,
2018,1,12,14,0.202687995,
2018,1,12,15,0.439701706,
2018,1,12,16,0.471389884,
2018,1,12,17,0.44346735,
2018,1,12,18,0.429417153,
2018,1,12,19,0.454674555,
2018,1,12,20,0.48335973,
2018,1,12,21,0.368279997,
2018,1,12,22,0.080289703,
2018,1,12,23,2.24E-05,
2018,1,12,24,0,
2018,1,13,1,0,
2018,1,13,2,0,
2018,1,13,3,0,
2018,1,13,4,0,
2018,1,13,5,0,
2018,1,13,6,0,
2018,1,13,7,0,
2018,1,13,8,0,
2018,1,13,9,0,
2018,1,13,10,0,
2018,1,13,11,0,
2018,1,13,12,0,
2018,1,13,13,0.029850111,
2018,1,13,14,0.293065569,
2018,1,13,15,0.53214768,
2018,1,13,16,0.547593736,
2018,1,13,17,0.498163973,
2018,1,13,18,0.478861186,
2018,1,13,19,0.509032919,
2018,1,13,20,0.538559295,
2018,1,13,21,0.396189869,
2018,1,13,22,0.076513574,
2018,1,13,23,2.29E-05,
2018,1,13,24,0,
2018,1,14,1,0,
2018,1,14,2,0,
2018,1,14,3,0,
2018,1,14,4,0,
2018,1,14,5,0,
2018,1,14,6,0,
2018,1,14,7,0,
2018,1,14,8,0,
2018,1,14,9,0,
2018,1,14,10,0,
2018,1,14,11,0,
2018,1,14,12,0,
2018,1,14,13,0.035414021,
2018,1,14,14,0.257969136,
2018,1,14,15,0.335352154,
2018,1,14,16,0.341743236,
2018,1,14,17,0.328998385,
2018,1,14,18,0.319851186,
2018,1,14,19,0.302776589,
2018,1,14,20,0.269893966,
2018,1,14,21,0.191959873,
2018,1,14,22,0.075815577,
2018,1,14,23,2.23E-05,
2018,1,14,24,0,
2018,1,15,1,0,
2018,1,15,2,0,
2018,1,15,3,0,
2018,1,15,4,0,
2018,1,15,5,0,
2018,1,15,6,0,
2018,1,15,7,0,
2018,1,15,8,0,
2018,1,15,9,0,
2018,1,15,10,0,
2018,1,15,11,0,
2018,1,15,12,0,
2018,1,15,13,0.025349071,
2018,1,15,14,0.210439314,
2018,1,15,15,0.353143691,
2018,1,15,16,0.387113019,
2018,1,15,17,0.372555207,
2018,1,15,18,0.349027708,
2018,1,15,19,0.336050575,
2018,1,15,20,0.324036737,
2018,1,15,21,0.241678672,
2018,1,15,22,0.074409126,
2018,1,15,23,7.84E-06,
2018,1,15,24,0,
2018,1,16,1,0,
2018,1,16,2,0,
2018,1,16,3,0,
2018,1,16,4,0,
2018,1,16,5,0,
2018,1,16,6,0,
2018,1,16,7,0,
2018,1,16,8,0,
2018,1,16,9,0,
2018,1,16,10,0,
2018,1,16,11,0,
2018,1,16,12,0,
2018,1,16,13,0.016234518,
2018,1,16,14,0.153369413,
2018,1,16,15,0.321266402,
2018,1,16,16,0.374717685,
2018,1,16,17,0.378816045,
2018,1,16,18,0.364790663,
2018,1,16,19,0.357807926,
2018,1,16,20,0.356745428,
2018,1,16,21,0.28652422,
2018,1,16,22,0.064118461,
2018,1,16,23,1.42E-05,
2018,1,16,24,0,
2018,1,17,1,0,
2018,1,17,2,0,
2018,1,17,3,0,
2018,1,17,4,0,
2018,1,17,5,0,
2018,1,17,6,0,
2018,1,17,7,0,
2018,1,17,8,0,
2018,1,17,9,0,
2018,1,17,10,0,
2018,1,17,11,0,
2018,1,17,12,0,
2018,1,17,13,0.036800386,
2018,1,17,14,0.329996692,
2018,1,17,15,0.535447842,
2018,1,17,16,0.564711397,
2018,1,17,17,0.539763204,
2018,1,17,18,0.518783002,
2018,1,17,19,0.552462292,
2018,1,17,20,0.584940435,
2018,1,17,21,0.496826783,
2018,1,17,22,0.109653297,
2018,1,17,23,3.13E-05,
2018,1,17,24,0,
2018,1,18,1,0,
2018,1,18,2,0,
2018,1,18,3,0,
2018,1,18,4,0,
2018,1,18,5,0,
2018,1,18,6,0,
2018,1,18,7,0,
2018,1,18,8,0,
2018,1,18,9,0,
2018,1,18,10,0,
2018,1,18,11,0,
2018,1,18,12,0,
2018,1,18,13,0.046094251,
2018,1,18,14,0.346100338,
2018,1,18,15,0.497895891,
2018,1,18,16,0.524127841,
2018,1,18,17,0.497527598,
2018,1,18,18,0.485592764,
2018,1,18,19,0.511034375,
2018,1,18,20,0.520593484,
2018,1,18,21,0.392489528,
2018,1,18,22,0.102025934,
2018,1,18,23,3.11E-05,
2018,1,18,24,0,
2018,1,19,1,0,
2018,1,19,2,0,
2018,1,19,3,0,
2018,1,19,4,0,
2018,1,19,5,0,
2018,1,19,6,0,
2018,1,19,7,0,
2018,1,19,8,0,
2018,1,19,9,0,
2018,1,19,10,0,
2018,1,19,11,0,
2018,1,19,12,0,
2018,1,19,13,0.04841089,
2018,1,19,14,0.274815255,
2018,1,19,15,0.384612406,
2018,1,19,16,0.427337104,
2018,1,19,17,0.429334859,
2018,1,19,18,0.427491087,
2018,1,19,19,0.448507715,
2018,1,19,20,0.451171181,
2018,1,19,21,0.344648606,
2018,1,19,22,0.085664527,
2018,1,19,23,2.16E-05,
2018,1,19,24,0,
2018,1,20,1,0,
2018,1,20,2,0,
2018,1,20,3,0,
2018,1,20,4,0,
2018,1,20,5,0,
2018,1,20,6,0,
2018,1,20,7,0,
2018,1,20,8,0,
2018,1,20,9,0,
2018,1,20,10,0,
2018,1,20,11,0,
2018,1,20,12,0,
2018,1,20,13,0.035758342,
2018,1,20,14,0.165116796,
2018,1,20,15,0.274701685,
2018,1,20,16,0.336949823,
2018,1,20,17,0.349610874,
2018,1,20,18,0.339272685,
2018,1,20,19,0.333626199,
2018,1,20,20,0.313067482,
2018,1,20,21,0.231999583,
2018,1,20,22,0.066899561,
2018,1,20,23,1.71E-05,
2018,1,20,24,0,
2018,1,21,1,0,
2018,1,21,2,0,
2018,1,21,3,0,
2018,1,21,4,0,
2018,1,21,5,0,
2018,1,21,6,0,
2018,1,21,7,0,
2018,1,21,8,0,
2018,1,21,9,0,
2018,1,21,10,0,
2018,1,21,11,0,
2018,1,21,12,0,
2018,1,21,13,0.023059491,
2018,1,21,14,0.101971527,
2018,1,21,15,0.203799993,
2018,1,21,16,0.272898672,
2018,1,21,17,0.300513786,
2018,1,21,18,0.295411653,
2018,1,21,19,0.277256973,
2018,1,21,20,0.249791758,
2018,1,21,21,0.178386364,
2018,1,21,22,0.062477379,
2018,1,21,23,1.05E-05,
2018,1,21,24,0,
2018,1,22,1,0,
2018,1,22,2,0,
2018,1,22,3,0,
2018,1,22,4,0,
2018,1,22,5,0,
2018,1,22,6,0,
2018,1,22,7,0,
2018,1,22,8,0,
2018,1,22,9,0,
2018,1,22,10,0,
2018,1,22,11,0,
2018,1,22,12,0,
2018,1,22,13,0.016557085,
2018,1,22,14,0.14275299,
2018,1,22,15,0.256496519,
2018,1,22,16,0.316575423,
2018,1,22,17,0.341805231,
2018,1,22,18,0.348759067,
2018,1,22,19,0.359325465,
2018,1,22,20,0.366716317,
2018,1,22,21,0.308757799,
2018,1,22,22,0.106608585,
