Capacity data calculated from MERRA-2,,,,,0.311846091
,,,,,
BEGIN_DATA,,,,,
year,month,day,hour,w_cfs,
2018,1,1,1,0.3227908,
2018,1,1,2,0.327099272,
2018,1,1,3,0.330112766,
2018,1,1,4,0.325026416,
2018,1,1,5,0.319237831,
2018,1,1,6,0.318539816,
2018,1,1,7,0.318985534,
2018,1,1,8,0.315457725,
2018,1,1,9,0.314535457,
2018,1,1,10,0.31554101,
2018,1,1,11,0.3120392,
2018,1,1,12,0.300904677,
2018,1,1,13,0.286601669,
2018,1,1,14,0.277533585,
2018,1,1,15,0.243292393,
2018,1,1,16,0.218511753,
2018,1,1,17,0.200301709,
2018,1,1,18,0.19374595,
2018,1,1,19,0.194188954,
2018,1,1,20,0.195940096,
2018,1,1,21,0.204271445,
2018,1,1,22,0.219143937,
2018,1,1,23,0.245531195,
2018,1,1,24,0.250909073,
2018,1,2,1,0.252590455,
2018,1,2,2,0.251242455,
2018,1,2,3,0.25859027,
2018,1,2,4,0.27260895,
2018,1,2,5,0.29040165,
2018,1,2,6,0.307600429,
2018,1,2,7,0.3206726,
2018,1,2,8,0.335954821,
2018,1,2,9,0.34828171,
2018,1,2,10,0.35544751,
2018,1,2,11,0.358364614,
2018,1,2,12,0.359794776,
2018,1,2,13,0.368448133,
2018,1,2,14,0.380083341,
2018,1,2,15,0.377482596,
2018,1,2,16,0.406934473,
2018,1,2,17,0.457922059,
2018,1,2,18,0.507693537,
2018,1,2,19,0.528821417,
2018,1,2,20,0.539650316,
2018,1,2,21,0.539691775,
2018,1,2,22,0.563658756,
2018,1,2,23,0.599972802,
2018,1,2,24,0.608469132,
2018,1,3,1,0.60053257,
2018,1,3,2,0.579692775,
2018,1,3,3,0.55475052,
2018,1,3,4,0.523491103,
2018,1,3,5,0.489781596,
2018,1,3,6,0.459878078,
2018,1,3,7,0.438821729,
2018,1,3,8,0.427802217,
2018,1,3,9,0.423488819,
2018,1,3,10,0.416051873,
2018,1,3,11,0.400806723,
2018,1,3,12,0.3779245,
2018,1,3,13,0.345330207,
2018,1,3,14,0.301178525,
2018,1,3,15,0.30877311,
2018,1,3,16,0.291616853,
2018,1,3,17,0.268682582,
2018,1,3,18,0.263543537,
2018,1,3,19,0.273309193,
2018,1,3,20,0.282899748,
2018,1,3,21,0.283180105,
2018,1,3,22,0.292675201,
2018,1,3,23,0.29460687,
2018,1,3,24,0.287190551,
2018,1,4,1,0.275120968,
2018,1,4,2,0.264223946,
2018,1,4,3,0.257842069,
2018,1,4,4,0.249007073,
2018,1,4,5,0.235267054,
2018,1,4,6,0.22059664,
2018,1,4,7,0.208043485,
2018,1,4,8,0.194853773,
2018,1,4,9,0.184276169,
2018,1,4,10,0.173522446,
2018,1,4,11,0.163088709,
2018,1,4,12,0.151937136,
2018,1,4,13,0.134223135,
2018,1,4,14,0.111193684,
2018,1,4,15,0.106308843,
2018,1,4,16,0.099277617,
2018,1,4,17,0.095898415,
2018,1,4,18,0.097934358,
2018,1,4,19,0.10306612,
2018,1,4,20,0.105878601,
2018,1,4,21,0.107915728,
2018,1,4,22,0.124087066,
2018,1,4,23,0.146531167,
2018,1,4,24,0.155909974,
2018,1,5,1,0.152872136,
2018,1,5,2,0.147155376,
2018,1,5,3,0.144947468,
2018,1,5,4,0.139497706,
2018,1,5,5,0.133156014,
2018,1,5,6,0.127256152,
2018,1,5,7,0.124650823,
2018,1,5,8,0.123406852,
2018,1,5,9,0.121826288,
2018,1,5,10,0.123461425,
2018,1,5,11,0.128994199,
2018,1,5,12,0.135258524,
2018,1,5,13,0.135162164,
2018,1,5,14,0.112567933,
2018,1,5,15,0.102934024,
2018,1,5,16,0.098783331,
2018,1,5,17,0.095117157,
2018,1,5,18,0.095996223,
2018,1,5,19,0.099904725,
2018,1,5,20,0.105452573,
2018,1,5,21,0.120058921,
2018,1,5,22,0.147435201,
2018,1,5,23,0.197420726,
2018,1,5,24,0.224256487,
2018,1,6,1,0.236354744,
2018,1,6,2,0.235831994,
2018,1,6,3,0.234643246,
2018,1,6,4,0.234995006,
2018,1,6,5,0.229998736,
2018,1,6,6,0.221823403,
2018,1,6,7,0.215804643,
2018,1,6,8,0.214975699,
2018,1,6,9,0.213146411,
2018,1,6,10,0.213224265,
2018,1,6,11,0.222097443,
2018,1,6,12,0.229137842,
2018,1,6,13,0.227756528,
2018,1,6,14,0.219005267,
2018,1,6,15,0.208666749,
2018,1,6,16,0.223986893,
2018,1,6,17,0.246490086,
2018,1,6,18,0.267374208,
2018,1,6,19,0.289673625,
2018,1,6,20,0.320657228,
2018,1,6,21,0.361326791,
2018,1,6,22,0.430984526,
2018,1,6,23,0.524059292,
2018,1,6,24,0.568706542,
2018,1,7,1,0.590671969,
2018,1,7,2,0.596289455,
2018,1,7,3,0.605737562,
2018,1,7,4,0.605174485,
2018,1,7,5,0.59907802,
2018,1,7,6,0.58564393,
2018,1,7,7,0.572045119,
2018,1,7,8,0.55877086,
2018,1,7,9,0.553297966,
2018,1,7,10,0.549689444,
2018,1,7,11,0.544890226,
2018,1,7,12,0.548571667,
2018,1,7,13,0.548699173,
2018,1,7,14,0.501284645,
2018,1,7,15,0.445091232,
2018,1,7,16,0.412957498,
2018,1,7,17,0.398471531,
2018,1,7,18,0.407146345,
2018,1,7,19,0.424953427,
2018,1,7,20,0.43201209,
2018,1,7,21,0.501153439,
2018,1,7,22,0.6174325,
2018,1,7,23,0.670174693,
2018,1,7,24,0.685010551,
2018,1,8,1,0.682954374,
2018,1,8,2,0.673675049,
2018,1,8,3,0.654208417,
2018,1,8,4,0.633730041,
2018,1,8,5,0.607276172,
2018,1,8,6,0.594292724,
2018,1,8,7,0.578830694,
2018,1,8,8,0.55181631,
2018,1,8,9,0.518573875,
2018,1,8,10,0.475771182,
2018,1,8,11,0.431474629,
2018,1,8,12,0.397857177,
2018,1,8,13,0.361833589,
2018,1,8,14,0.295435814,
2018,1,8,15,0.245132052,
2018,1,8,16,0.22380436,
2018,1,8,17,0.24604092,
2018,1,8,18,0.26419794,
2018,1,8,19,0.268367633,
2018,1,8,20,0.257110467,
2018,1,8,21,0.276239406,
2018,1,8,22,0.326714421,
2018,1,8,23,0.375082486,
2018,1,8,24,0.382623226,
2018,1,9,1,0.382374546,
2018,1,9,2,0.372277155,
2018,1,9,3,0.353933707,
2018,1,9,4,0.322958438,
2018,1,9,5,0.287675939,
2018,1,9,6,0.255423395,
2018,1,9,7,0.235018984,
2018,1,9,8,0.229260488,
2018,1,9,9,0.232525891,
2018,1,9,10,0.241361531,
2018,1,9,11,0.254098871,
2018,1,9,12,0.269745871,
2018,1,9,13,0.275266372,
2018,1,9,14,0.242249369,
2018,1,9,15,0.185821455,
2018,1,9,16,0.153555593,
2018,1,9,17,0.156005079,
2018,1,9,18,0.183542489,
2018,1,9,19,0.206767594,
2018,1,9,20,0.231511523,
2018,1,9,21,0.315637286,
2018,1,9,22,0.445632048,
2018,1,9,23,0.531660189,
2018,1,9,24,0.571438456,
2018,1,10,1,0.585998679,
2018,1,10,2,0.580094635,
2018,1,10,3,0.564124655,
2018,1,10,4,0.544663594,
2018,1,10,5,0.531363262,
2018,1,10,6,0.528210871,
2018,1,10,7,0.532123861,
2018,1,10,8,0.525565616,
2018,1,10,9,0.522952112,
2018,1,10,10,0.531650995,
2018,1,10,11,0.552862818,
2018,1,10,12,0.579934165,
2018,1,10,13,0.579358524,
2018,1,10,14,0.54575243,
2018,1,10,15,0.523959019,
2018,1,10,16,0.526226883,
2018,1,10,17,0.544990487,
2018,1,10,18,0.576552974,
2018,1,10,19,0.59465637,
2018,1,10,20,0.608453918,
2018,1,10,21,0.611516353,
2018,1,10,22,0.649939117,
2018,1,10,23,0.698345082,
2018,1,10,24,0.705248835,
2018,1,11,1,0.712571556,
2018,1,11,2,0.713097465,
2018,1,11,3,0.726589777,
2018,1,11,4,0.736922205,
2018,1,11,5,0.742349715,
2018,1,11,6,0.743822089,
2018,1,11,7,0.743700563,
2018,1,11,8,0.747234392,
2018,1,11,9,0.745757363,
2018,1,11,10,0.748832576,
2018,1,11,11,0.743805415,
2018,1,11,12,0.738959437,
2018,1,11,13,0.724501301,
2018,1,11,14,0.676605577,
2018,1,11,15,0.646694759,
2018,1,11,16,0.648138562,
2018,1,11,17,0.6651554,
2018,1,11,18,0.677896884,
2018,1,11,19,0.678790313,
2018,1,11,20,0.666963147,
2018,1,11,21,0.653306859,
2018,1,11,22,0.662431189,
2018,1,11,23,0.672161446,
2018,1,11,24,0.667819901,
2018,1,12,1,0.672097072,
2018,1,12,2,0.676234333,
2018,1,12,3,0.673131334,
2018,1,12,4,0.672091569,
2018,1,12,5,0.667795164,
2018,1,12,6,0.658113366,
2018,1,12,7,0.6537469,
2018,1,12,8,0.64629344,
2018,1,12,9,0.63989508,
2018,1,12,10,0.629235125,
2018,1,12,11,0.608174051,
2018,1,12,12,0.579401472,
2018,1,12,13,0.551416685,
2018,1,12,14,0.545949711,
2018,1,12,15,0.529738087,
2018,1,12,16,0.508815097,
2018,1,12,17,0.496605849,
2018,1,12,18,0.494657046,
2018,1,12,19,0.493420298,
2018,1,12,20,0.489566374,
2018,1,12,21,0.486399992,
2018,1,12,22,0.465354317,
2018,1,12,23,0.473113832,
2018,1,12,24,0.466122911,
2018,1,13,1,0.454289791,
2018,1,13,2,0.436753092,
2018,1,13,3,0.420223465,
2018,1,13,4,0.406222323,
2018,1,13,5,0.39580442,
2018,1,13,6,0.385755319,
2018,1,13,7,0.372247515,
2018,1,13,8,0.353641596,
2018,1,13,9,0.329062851,
2018,1,13,10,0.300597212,
2018,1,13,11,0.267980121,
2018,1,13,12,0.234842523,
2018,1,13,13,0.201402013,
2018,1,13,14,0.192538242,
2018,1,13,15,0.158487243,
2018,1,13,16,0.125760357,
2018,1,13,17,0.110224073,
2018,1,13,18,0.107057069,
2018,1,13,19,0.106864191,
2018,1,13,20,0.107650481,
2018,1,13,21,0.113472637,
2018,1,13,22,0.121520445,
2018,1,13,23,0.165386201,
2018,1,13,24,0.18930536,
2018,1,14,1,0.191011713,
2018,1,14,2,0.187430108,
2018,1,14,3,0.192648146,
2018,1,14,4,0.205236062,
2018,1,14,5,0.220005459,
2018,1,14,6,0.22676739,
2018,1,14,7,0.23315166,
2018,1,14,8,0.240218595,
2018,1,14,9,0.243899994,
2018,1,14,10,0.243949369,
2018,1,14,11,0.25057147,
2018,1,14,12,0.264351914,
2018,1,14,13,0.277360823,
2018,1,14,14,0.270156004,
2018,1,14,15,0.273450653,
2018,1,14,16,0.317081105,
2018,1,14,17,0.357589304,
2018,1,14,18,0.389326654,
2018,1,14,19,0.405278062,
2018,1,14,20,0.413818835,
2018,1,14,21,0.421987478,
2018,1,14,22,0.44685565,
2018,1,14,23,0.474285985,
2018,1,14,24,0.488502143,
2018,1,15,1,0.498944422,
2018,1,15,2,0.507633106,
2018,1,15,3,0.513567667,
2018,1,15,4,0.506574025,
2018,1,15,5,0.49307669,
2018,1,15,6,0.479576979,
2018,1,15,7,0.473203621,
2018,1,15,8,0.476061987,
2018,1,15,9,0.489250884,
2018,1,15,10,0.503834081,
2018,1,15,11,0.510464586,
2018,1,15,12,0.510211871,
2018,1,15,13,0.492957159,
2018,1,15,14,0.471406913,
2018,1,15,15,0.473970816,
2018,1,15,16,0.469391678,
2018,1,15,17,0.45287662,
2018,1,15,18,0.446042388,
2018,1,15,19,0.445513597,
2018,1,15,20,0.445247223,
2018,1,15,21,0.447968831,
2018,1,15,22,0.460587088,
2018,1,15,23,0.477713182,
2018,1,15,24,0.478582523,
2018,1,16,1,0.461326384,
2018,1,16,2,0.435823681,
2018,1,16,3,0.416968622,
2018,1,16,4,0.401199703,
2018,1,16,5,0.388935069,
2018,1,16,6,0.378377737,
2018,1,16,7,0.368117814,
2018,1,16,8,0.362120952,
2018,1,16,9,0.356063551,
2018,1,16,10,0.350327351,
2018,1,16,11,0.343562755,
2018,1,16,12,0.333058221,
2018,1,16,13,0.325430843,
2018,1,16,14,0.304175949,
2018,1,16,15,0.249170581,
2018,1,16,16,0.206031644,
2018,1,16,17,0.19463387,
2018,1,16,18,0.204197392,
2018,1,16,19,0.219029951,
2018,1,16,20,0.231249501,
2018,1,16,21,0.235374884,
2018,1,16,22,0.28930395,
2018,1,16,23,0.346941043,
2018,1,16,24,0.36092784,
2018,1,17,1,0.3681363,
2018,1,17,2,0.37219004,
2018,1,17,3,0.370660342,
2018,1,17,4,0.36761662,
2018,1,17,5,0.368006686,
2018,1,17,6,0.372125073,
2018,1,17,7,0.376608061,
2018,1,17,8,0.383345526,
2018,1,17,9,0.389214345,
2018,1,17,10,0.395783334,
2018,1,17,11,0.402014283,
2018,1,17,12,0.411237989,
2018,1,17,13,0.429029517,
2018,1,17,14,0.428103661,
2018,1,17,15,0.393318593,
2018,1,17,16,0.410568567,
2018,1,17,17,0.432286894,
2018,1,17,18,0.460097954,
2018,1,17,19,0.494306693,
2018,1,17,20,0.501582002,
2018,1,17,21,0.535750502,
2018,1,17,22,0.610547506,
2018,1,17,23,0.654029043,
2018,1,17,24,0.671917183,
2018,1,18,1,0.677654981,
2018,1,18,2,0.67300881,
2018,1,18,3,0.664426862,
2018,1,18,4,0.655530636,
2018,1,18,5,0.642686272,
2018,1,18,6,0.623568475,
2018,1,18,7,0.596517473,
2018,1,18,8,0.564956745,
2018,1,18,9,0.542523869,
2018,1,18,10,0.528689527,
2018,1,18,11,0.512017281,
2018,1,18,12,0.494803195,
2018,1,18,13,0.465606313,
2018,1,18,14,0.37291473,
2018,1,18,15,0.315026851,
2018,1,18,16,0.29204848,
2018,1,18,17,0.305859562,
2018,1,18,18,0.351036213,
2018,1,18,19,0.385507946,
2018,1,18,20,0.401023265,
2018,1,18,21,0.434975609,
2018,1,18,22,0.568279321,
2018,1,18,23,0.633137323,
2018,1,18,24,0.649787642,
2018,1,19,1,0.654780439,
2018,1,19,2,0.655652873,
2018,1,19,3,0.649764716,
2018,1,19,4,0.634898325,
2018,1,19,5,0.612173009,
2018,1,19,6,0.581336542,
2018,1,19,7,0.545632431,
2018,1,19,8,0.512983107,
2018,1,19,9,0.494752764,
2018,1,19,10,0.488252828,
2018,1,19,11,0.496199835,
2018,1,19,12,0.512950826,
2018,1,19,13,0.500164547,
2018,1,19,14,0.396486976,
2018,1,19,15,0.357358857,
2018,1,19,16,0.387773293,
2018,1,19,17,0.419261245,
2018,1,19,18,0.47532384,
2018,1,19,19,0.507205013,
2018,1,19,20,0.507119557,
2018,1,19,21,0.58413601,
2018,1,19,22,0.715743781,
2018,1,19,23,0.792376796,
